Freqency (MHz) - Plot 0	PL - Plot 0	
2820.000	150365	
2821.000	152121	
2822.000	150819	
2823.000	150964	
2824.000	152101	
2825.000	152076	
2826.000	151210	
2827.000	150592	
2828.000	151035	
2829.000	150841	
2830.000	150463	
2831.000	150077	
2832.000	150489	
2833.000	149821	
2834.000	151013	
2835.000	150512	
2836.000	149804	
2837.000	150460	
2838.000	149837	
2839.000	149857	
2840.000	149552	
2841.000	149841	
2842.000	150715	
2843.000	151243	
2844.000	150172	
2845.000	149765	
2846.000	148594	
2847.000	149758	
2848.000	148910	
2849.000	148858	
2850.000	148175	
2851.000	149218	
2852.000	148593	
2853.000	148741	
2854.000	148185	
2855.000	148321	
2856.000	148854	
2857.000	148995	
2858.000	148653	
2859.000	149232	
2860.000	147942	
2861.000	147977	
2862.000	145880	
2863.000	145498	
2864.000	146591	
2865.000	143843	
2866.000	141715	
2867.000	141513	
2868.000	140390	
2869.000	140291	
2870.000	139742	
2871.000	138704	
2872.000	138398	
2873.000	138605	
2874.000	138050	
2875.000	139495	
2876.000	140427	
2877.000	141449	
2878.000	143485	
2879.000	143476	
2880.000	146047	
2881.000	144754	
2882.000	147163	
2883.000	147083	
2884.000	147547	
2885.000	147844	
2886.000	148001	
2887.000	147977	
2888.000	149379	
2889.000	148942	
2890.000	149434	
2891.000	149680	
2892.000	149514	
2893.000	149095	
2894.000	148736	
2895.000	149335	
2896.000	149783	
2897.000	149296	
2898.000	149696	
2899.000	150646	
2900.000	149301	
2901.000	149265	
2902.000	149435	
2903.000	148716	
2904.000	149204	
2905.000	148381	
2906.000	149247	
2907.000	150353	
2908.000	149564	
2909.000	150401	
2910.000	150194	
2911.000	149762	
2912.000	149893	
2913.000	149699	
2914.000	150683	
2915.000	149762	
2916.000	149446	
2917.000	150399	
2918.000	149664	
2919.000	149409	
2920.000	149172	
