wavelength	counts
549.99841	296
550.12219	298
550.24597	310
550.36975	307
550.49353	304
550.61731	305
550.74109	309
550.86487	309
550.98865	315
551.11237	318
551.23615	303
551.35992	311
551.4837	295
551.60748	324
551.73126	289
551.85504	301
551.97882	318
552.1026	318
552.22638	295
552.35016	295
552.47394	301
552.59772	308
552.72144	295
552.84521	309
552.96899	313
553.09277	298
553.21655	294
553.34033	289
553.46411	305
553.58789	307
553.71167	310
553.83545	300
553.95923	289
554.08301	311
554.20679	307
554.33057	310
554.45435	322
554.57812	307
554.70184	295
554.82562	298
554.9494	308
555.07318	306
555.19696	301
555.32074	308
555.44452	300
555.5683	317
555.69208	305
555.81586	286
555.93964	306
556.06342	302
556.18719	307
556.31097	307
556.43475	311
556.55853	309
556.68225	303
556.80603	316
556.92981	296
557.05359	306
557.17737	307
557.30115	293
557.42493	310
557.54871	303
557.67249	294
557.79626	319
557.92004	297
558.04382	310
558.1676	299
558.29138	307
558.41516	305
558.53888	301
558.66266	300
558.78644	291
558.91022	306
559.034	300
559.15778	312
559.28156	297
559.40533	296
559.52911	294
559.65289	306
559.77667	311
559.90045	287
560.02417	306
560.14795	287
560.27173	313
560.39551	300
560.51929	306
560.64307	303
560.76685	287
560.89062	303
561.0144	297
561.13818	305
561.2619	309
561.38568	295
561.50946	303
561.63324	310
561.75702	300
561.8808	310
562.00458	308
562.12836	300
562.25208	304
562.37585	296
562.49963	305
562.62341	295
562.74719	310
562.87097	297
562.99475	313
563.11847	304
563.24225	291
563.36603	306
563.48981	297
563.61359	286
563.73737	293
563.86115	309
563.98486	314
564.10864	300
564.23242	311
564.3562	313
564.47998	316
564.6037	311
564.72748	312
564.85126	319
564.97504	298
565.09882	329
565.2226	294
565.34631	316
565.47009	300
565.59387	306
565.71765	310
565.84137	308
565.96515	301
566.08893	286
566.21271	307
566.33649	304
566.46021	299
566.58398	314
566.70776	310
566.83154	298
566.95526	303
567.07904	299
567.20282	309
567.3266	314
567.45032	292
567.5741	311
567.69788	296
567.82159	294
567.94537	279
568.06915	300
568.19293	312
568.31665	294
568.44043	322
568.56421	306
568.68793	288
568.81171	290
568.93549	305
569.0592	290
569.18298	283
569.30676	313
569.43048	289
569.55426	311
569.67804	313
569.80176	298
569.92554	310
570.04926	302
570.17303	299
570.29681	322
570.42053	316
570.54431	303
570.66809	298
570.79181	310
570.91559	294
571.03931	314
571.16309	316
571.2868	305
571.41058	303
571.53436	312
571.65808	307
571.78186	297
571.90558	296
572.02936	314
572.15308	300
572.27686	292
572.40057	292
572.52435	303
572.64807	305
572.77185	304
572.89557	316
573.01935	310
573.14307	317
573.26685	294
573.39056	324
573.51434	303
573.63806	297
573.76184	307
573.88556	303
574.00934	300
574.13306	302
574.25677	293
574.38055	303
574.50427	296
574.62805	310
574.75177	295
574.87549	299
574.99927	303
575.12299	301
575.24677	296
575.37048	301
575.4942	313
575.61798	307
575.7417	295
575.86542	306
575.9892	296
576.11292	294
576.23663	293
576.36041	304
576.48413	301
576.60785	303
576.73157	302
576.85535	294
576.97906	285
577.10278	306
577.22656	309
577.35028	291
577.474	296
577.59772	289
577.72144	309
577.84521	300
577.96893	299
578.09265	306
578.21637	301
578.34009	312
578.46387	303
578.58759	318
578.7113	294
578.83502	304
578.95874	284
579.08246	302
579.20618	311
579.32996	291
579.45367	297
579.57739	304
579.70111	293
579.82483	287
579.94855	285
580.07227	294
580.19598	292
580.3197	294
580.44342	298
580.56714	315
580.69086	304
580.81458	305
580.93829	317
581.06201	305
581.18573	302
581.30945	292
581.43317	307
581.55688	298
581.6806	309
581.80432	290
581.92804	300
582.05176	300
582.17548	302
582.29919	293
582.42285	314
582.54657	304
582.67029	306
582.79401	307
582.91772	306
583.04144	294
583.16516	300
583.28882	301
583.41254	310
583.53625	304
583.65997	310
583.78363	305
583.90735	303
584.03107	300
584.15479	295
584.27844	290
584.40216	302
584.52588	315
584.6496	308
584.77325	293
584.89697	308
585.02069	303
585.14435	303
585.26807	296
585.39178	298
585.51544	302
585.63916	314
585.76282	308
585.88654	307
586.01025	302
586.13391	289
586.25763	304
586.38129	291
586.505	300
586.62866	302
586.75238	298
586.87604	323
586.99976	295
587.12341	295
587.24713	304
587.37079	310
587.49451	302
587.61816	313
587.74188	291
587.86554	293
587.98926	291
588.11292	306
588.23657	307
588.36029	306
588.48395	302
588.6076	308
588.73132	302
588.85498	301
588.97864	298
589.10236	305
589.22601	321
589.34967	308
589.47333	298
589.59705	287
589.7207	308
589.84436	300
589.96802	307
590.09174	288
590.21539	295
590.33905	291
590.46271	311
590.58636	295
590.71002	303
590.83374	302
590.9574	300
591.08105	305
591.20471	308
591.32837	296
591.45203	303
591.57568	287
591.69934	306
591.823	297
591.94666	312
592.07031	296
592.19397	297
592.31763	291
592.44128	302
592.56494	300
592.6886	297
592.81226	299
592.93591	307
593.05957	298
593.18317	289
593.30682	307
593.43048	308
593.55414	309
593.6778	300
593.80145	294
593.92505	295
594.04871	297
594.17236	297
594.29602	297
594.41962	291
594.54327	293
594.66693	296
594.79059	304
594.91418	298
595.03784	307
595.1615	315
595.2851	307
595.40875	291
595.53241	304
595.65601	287
595.77966	301
595.90326	308
596.02692	300
596.15051	303
596.27417	296
596.39777	302
596.52142	312
596.64502	313
596.76868	317
596.89227	302
597.01593	319
597.13953	307
597.26318	296
597.38678	304
597.51038	285
597.63403	298
597.75763	297
597.88123	329
598.00488	304
598.12848	289
598.25208	323
598.37573	298
598.49933	308
598.62292	313
598.74652	306
598.87018	299
598.99377	295
599.11737	308
599.24097	292
599.36456	318
599.48816	293
599.61176	312
599.73541	310
599.85901	305
599.9826	304
600.1062	307
600.2298	301
600.35339	313
600.47699	302
600.60059	297
600.72418	294
600.84778	292
600.97137	310
601.09497	289
601.21857	322
601.3421	313
601.4657	314
601.58929	305
601.71289	312
601.83649	318
601.96008	318
602.08362	298
602.20721	314
602.33081	318
602.45441	311
602.57794	311
602.70154	321
602.82513	307
602.94873	324
603.07227	336
603.19586	299
603.3194	337
603.44299	331
603.56659	307
603.69012	305
603.81372	315
603.93726	296
604.06085	323
604.18439	330
604.30798	320
604.43152	324
604.55511	316
604.67865	330
604.80225	334
604.92578	315
605.04932	330
605.17291	338
605.29645	307
605.41998	329
605.54358	320
605.66711	329
605.79065	329
605.91425	308
606.03778	327
606.16132	311
606.28485	318
606.40839	317
606.53198	324
606.65552	316
606.77905	320
606.90259	313
607.02612	314
607.14966	322
607.27319	326
607.39673	322
607.52026	330
607.6438	338
607.76733	318
607.89087	323
608.0144	333
608.13794	317
608.26147	320
608.38501	335
608.50854	308
608.63202	323
608.75555	318
608.87909	313
609.00262	309
609.12616	324
609.24963	332
609.37317	333
609.4967	328
609.62024	307
609.74371	308
609.86725	336
609.99078	325
610.11426	327
610.23779	307
610.36127	317
610.4848	320
610.60828	329
610.73181	311
610.85529	308
610.97882	338
611.10229	314
611.22583	317
611.3493	318
611.47284	314
611.59631	326
611.71979	321
611.84332	320
611.9668	313
612.09027	312
612.21381	330
612.33728	327
612.46075	329
612.58423	320
612.70776	324
612.83124	333
612.95471	319
613.07819	327
613.20166	323
613.32513	312
613.44861	328
613.57208	347
613.69556	318
613.81903	326
613.9425	335
614.06598	329
614.18945	306
614.31293	303
614.4364	308
614.55988	319
614.68335	340
614.80682	317
614.9303	334
615.05371	321
615.17719	328
615.30066	328
615.42413	331
615.54755	315
615.67102	313
615.79449	321
615.91791	319
616.04138	302
616.16486	309
616.28827	328
616.41174	324
616.53516	326
616.65863	310
616.78204	326
616.90552	299
617.02893	315
617.1524	326
617.27582	321
617.39923	316
617.52271	341
617.64612	319
617.76959	321
617.89301	324
618.01642	333
618.13983	323
618.26331	321
618.38672	339
618.51013	320
618.63354	344
618.75696	344
618.88037	349
619.00378	337
619.12726	311
619.25067	339
619.37408	346
619.4975	363
619.62091	315
619.74432	346
619.86774	338
619.99109	329
620.1145	328
620.23792	349
620.36133	339
620.48474	352
620.60815	348
620.73151	360
620.85492	361
620.97833	355
621.10175	341
621.2251	350
621.34851	348
621.47192	348
621.59528	361
621.71869	360
621.84204	369
621.96545	347
622.08881	351
622.21222	343
622.33557	355
622.45898	356
622.58234	330
622.70575	366
622.8291	348
622.95245	358
623.07587	367
623.19922	364
623.32257	346
623.44598	359
623.56934	392
623.69269	359
623.81604	366
623.93939	381
624.06274	378
624.18616	376
624.30951	374
624.43286	356
624.55621	348
624.67957	346
624.80292	370
624.92627	372
625.04962	358
625.17291	366
625.29626	355
625.41962	363
625.54297	393
625.66632	374
625.78967	376
625.91296	370
626.03632	383
626.15967	362
626.28296	397
626.40631	376
626.52966	395
626.65295	378
626.77631	388
626.89966	393
627.02295	364
627.1463	396
627.26959	396
627.39288	387
627.51624	390
627.63953	372
627.76288	376
627.88617	393
628.00946	382
628.13281	400
628.2561	392
628.37939	410
628.50269	423
628.62604	412
628.74933	428
628.87262	416
628.99591	439
629.1192	422
629.24249	409
629.36578	438
629.48907	418
629.61237	467
629.73566	423
629.85895	462
629.98224	421
630.10553	437
630.22882	408
630.35211	435
630.47534	392
630.59863	393
630.72192	400
630.84521	400
630.96844	404
631.09174	424
631.21503	427
631.33826	391
631.46155	407
631.58478	401
631.70807	381
631.8313	393
631.95459	359
632.07782	392
632.20111	385
632.32434	351
632.44757	366
632.57086	355
632.69409	363
632.81732	366
632.94061	369
633.06384	360
633.18707	365
633.3103	366
633.43353	357
633.55676	376
633.67999	353
633.80322	365
633.92651	357
634.04974	356
634.17291	356
634.29614	357
634.41937	359
634.5426	355
634.66583	360
634.78906	345
634.91229	341
635.03552	356
635.15869	352
635.28192	354
635.40515	345
635.52832	342
635.65155	352
635.77478	333
635.89795	348
636.02118	352
636.14435	358
636.26758	347
636.39075	371
636.51398	362
636.63715	376
636.76031	328
636.88354	358
637.00671	358
637.12988	340
637.25311	328
637.37628	334
637.49945	346
637.62262	361
637.74579	355
637.86896	349
637.99213	340
638.1153	345
638.23853	323
638.36169	321
638.4848	324
638.60797	316
638.73114	309
638.85431	318
638.97748	306
639.10065	315
639.22382	320
639.34692	300
639.47009	313
639.59326	321
639.71637	325
639.83954	398
639.96271	2025
640.08582	8399
640.20898	2109
640.33209	414
640.45526	320
640.57837	303
640.70154	326
640.82465	324
640.94775	307
641.07092	302
641.19403	325
641.31714	316
641.44031	319
641.56342	326
641.68652	317
641.80963	322
641.93274	319
642.05585	310
642.17896	305
642.30206	318
642.42517	311
642.54828	325
642.67139	319
642.79449	315
642.9176	312
643.04071	323
643.16382	309
643.28687	323
643.40997	324
643.53308	315
643.65613	319
643.77924	318
643.90234	313
644.02539	307
644.1485	304
644.27155	302
644.39465	309
644.5177	323
644.64081	309
644.76385	320
644.8869	324
645.01001	314
645.13306	304
645.2561	320
645.37921	305
645.50226	311
645.62531	314
645.74835	315
645.8714	321
645.99445	311
646.11749	324
646.24054	315
646.36359	316
646.48663	311
646.60968	324
646.73273	320
646.85577	303
646.97882	315
647.10181	312
647.22485	323
647.3479	315
647.47095	331
647.59393	320
647.71698	321
647.83997	317
647.96301	338
648.086	316
648.20905	306
648.33203	314
648.45508	324
648.57806	310
648.70111	313
648.8241	336
648.94708	343
649.07007	321
649.19312	303
649.3161	315
649.43909	316
649.56207	313
649.68506	305
649.80804	335
649.93103	313
650.05402	312
650.177	317
650.29999	305
650.42297	307
650.54596	324
650.66895	312
650.79187	320
650.91486	306
651.03784	329
651.16077	330
651.28375	293
651.40674	310
651.52966	300
651.65265	320
651.77557	314
651.89856	295
652.02148	319
652.14447	307
652.2674	307
652.39032	311
652.51331	314
652.63623	312
652.75916	310
652.88208	315
653.005	326
653.12793	321
653.25092	310
653.37384	312
653.49677	305
653.61969	324
653.74261	309
653.86548	319
653.9884	309
