V - Plot 0	PC - Plot 0	
-20	-2.37436	
-19.9	-2.37429	
-19.8	-2.29076	
-19.7	-2.29076	
-19.6	-2.15908	
-19.5	-1.99766	
-19.4	-1.95041	
-19.3	-1.92171	
-19.2	-1.89452	
-19.1	-1.83968	
-19	-1.83968	
-18.9	-1.79407	
-18.8	-1.73346	
-18.7	-1.65441	
-18.6	-1.5345	
-18.5	-1.40632	
-18.4	-1.34957	
-18.3	-1.29895	
-18.2	-1.22606	
-18.1	-1.22606	
-18	-1.18988	
-17.9	-1.15007	
-17.8	-1.12141	
-17.7	-1.15252	
-17.6	-1.15153	
-17.5	-1.12354	
-17.4	-1.10818	
-17.3	-1.09157	
-17.2	-1.10232	
-17.1	-1.13915	
-17	-1.15687	
-16.9	-1.13326	
-16.8	-1.13326	
-16.7	-1.06055	
-16.6	-0.98779	
-16.5	-0.938311	
-16.4	-0.900411	
-16.3	-0.867397	
-16.2	-0.8705	
-16.1	-0.855486	
-16	-0.825754	
-15.9	-0.81541	
-15.8	-0.81541	
-15.7	-0.77582	
-15.6	-0.697342	
-15.5	-0.629805	
-15.4	-0.631318	
-15.3	-0.639988	
-15.2	-0.621957	
-15.1	-0.55133	
-15	-0.617424	
-14.9	-0.678321	
-14.8	-0.644802	
-14.7	-0.644802	
-14.6	-0.576993	
-14.5	-0.527556	
-14.4	-0.494936	
-14.3	-0.482694	
-14.2	-0.480864	
-14.1	-0.483807	
-14	-0.490281	
-13.9	-0.528546	
-13.8	-0.528546	
-13.7	-0.578256	
-13.6	-0.619831	
-13.5	-0.642923	
-13.4	-0.673441	
-13.3	-0.714379	
-13.2	-0.748768	
-13.1	-0.741567	
-13	-0.714075	
-12.9	-0.684533	
-12.8	-0.630041	
-12.7	-0.576631	
-12.6	-0.530601	
-12.5	-0.530601	
-12.4	-0.520216	
-12.3	-0.538074	
-12.2	-0.57634	
-12.1	-0.563144	
-12	-0.519117	
-11.9	-0.459027	
-11.8	-0.419035	
-11.7	-0.423383	
-11.6	-0.423383	
-11.5	-0.469605	
-11.4	-0.491277	
-11.3	-0.522188	
-11.2	-0.526414	
-11.1	-0.51732	
-11	-0.512449	
-10.9	-0.527887	
-10.8	-0.523008	
-10.7	-0.493089	
-10.6	-0.493089	
-10.5	-0.470883	
-10.4	-0.491582	
-10.3	-0.527901	
-10.2	-0.553897	
-10.1	-0.509664	
-10	-0.480228	
-9.9	-0.474171	
-9.8	-0.510653	
-9.7	-0.553549	
-9.6	-0.546317	
-9.5	-0.546317	
-9.4	-0.501162	
-9.3	-0.451183	
-9.2	-0.417354	
-9.1	-0.436909	
-9	-0.488026	
-8.9	-0.492607	
-8.8	-0.498084	
-8.7	-0.513797	
-8.6	-0.50582	
-8.5	-0.50582	
-8.4	-0.473923	
-8.3	-0.404309	
-8.2	-0.354393	
-8.1	-0.315382	
-8	-0.318716	
-7.9	-0.361563	
-7.8	-0.39999	
-7.7	-0.432166	
-7.6	-0.432166	
-7.5	-0.427819	
-7.4	-0.402997	
-7.3	-0.397839	
-7.2	-0.425885	
-7.1	-0.380364	
-7	-0.347707	
-6.9	-0.320866	
-6.8	-0.301418	
-6.7	-0.301418	
-6.6	-0.296511	
-6.5	-0.304496	
-6.4	-0.300263	
-6.3	-0.305516	
-6.2	-0.340943	
-6.1	-0.351841	
-6	-0.326208	
-5.9	-0.300341	
-5.8	-0.300341	
-5.7	-0.285222	
-5.6	-0.257246	
-5.5	-0.221787	
-5.4	-0.202779	
-5.3	-0.232497	
-5.2	-0.299465	
-5.1	-0.350424	
-5	-0.371176	
-4.9	-0.388444	
-4.8	-0.388444	
-4.7	-0.411609	
-4.6	-0.412065	
-4.5	-0.410244	
-4.4	-0.427733	
-4.3	-0.454515	
-4.2	-0.461951	
-4.1	-0.441658	
-4	-0.438387	
-3.9	-0.421739	
-3.8	-0.399259	
-3.7	-0.399259	
-3.6	-0.369952	
-3.5	-0.372509	
-3.4	-0.365741	
-3.3	-0.359193	
-3.2	-0.368047	
-3.1	-0.368047	
-3	-0.342304	
-2.9	-0.342304	
-2.8	-0.325884	
-2.7	-0.360813	
-2.6	-0.397341	
-2.5	-0.417601	
-2.4	-0.426843	
-2.3	-0.443486	
-2.2	-0.431194	
-2.1	-0.384938	
-2	-0.384938	
-1.9	-0.329468	
-1.8	-0.312472	
-1.7	-0.332108	
-1.6	-0.365455	
-1.5	-0.408793	
-1.4	-0.393419	
-1.3	-0.401892	
-1.2	-0.401892	
-1.1	-0.408819	
-1	-0.397293	
-0.9	-0.418817	
-0.8	-0.449685	
-0.7	-0.424137	
-0.6	-0.385302	
-0.5	-0.37941	
-0.4	-0.37941	
-0.3	-0.34896	
-0.2	-0.366868	
-0.1	-0.401207	
0	-0.407869	
0.1	-0.375229	
0.2	-0.321264	
0.3	-0.241747	
0.4	-0.165005	
0.5	-0.0764302	
0.6	-0.0764302	
0.7	0.00195511	
0.8	0.0289205	
0.9	0.0524249	
1	0.0844409	
1.1	0.111619	
1.2	0.113359	
1.3	0.12696	
1.4	0.146007	
1.5	0.166581	
1.6	0.166581	
1.7	0.229776	
1.8	0.260561	
1.9	0.285861	
2	0.308869	
2.1	0.331463	
2.2	0.348323	
2.3	0.384368	
2.4	0.384368	
2.5	0.430031	
2.6	0.437408	
2.7	0.413427	
2.8	0.339096	
2.9	0.27684	
3	0.236081	
3.1	0.211351	
3.2	0.209394	
3.3	0.189624	
3.4	0.189624	
3.5	0.182087	
3.6	0.208727	
3.7	0.281269	
3.8	0.327565	
3.9	0.363794	
4	0.373924	
4.1	0.406659	
4.2	0.459539	
4.3	0.48925	
4.4	0.481882	
4.5	0.458059	
4.6	0.458059	
4.7	0.435865	
4.8	0.393557	
4.9	0.367979	
5	0.370214	
5.1	0.39578	
5.2	0.408647	
5.3	0.409786	
5.4	0.409786	
5.5	0.396586	
5.6	0.384845	
5.7	0.371871	
5.8	0.361463	
5.9	0.329753	
6	0.312225	
6.1	0.339885	
6.2	0.404857	
6.3	0.436139	
6.4	0.436139	
6.5	0.422704	
6.6	0.423911	
6.7	0.41013	
6.8	0.380986	
6.9	0.371093	
7	0.351841	
7.1	0.335209	
7.2	0.308013	
7.3	0.332571	
7.4	0.332571	
7.5	0.384407	
7.6	0.415705	
7.7	0.423997	
7.8	0.438972	
7.9	0.469482	
8	0.510768	
8.1	0.567095	
8.2	0.624635	
8.3	0.624635	
8.4	0.610819	
8.5	0.563107	
8.6	0.514117	
8.7	0.489195	
8.8	0.479379	
8.9	0.470602	
9	0.467326	
9.1	0.467326	
9.2	0.492568	
9.3	0.543641	
9.4	0.583623	
9.5	0.572079	
9.6	0.524943	
9.7	0.464713	
9.8	0.446794	
9.9	0.445062	
10	0.42782	
10.1	0.42782	
10.2	0.443667	
10.3	0.48236	
10.4	0.492029	
10.5	0.503523	
10.6	0.500614	
10.7	0.484255	
10.8	0.511169	
10.9	0.511169	
11	0.534958	
11.1	0.564606	
11.2	0.569569	
11.3	0.558884	
11.4	0.535206	
11.5	0.491209	
11.6	0.45637	
11.7	0.449188	
11.8	0.449188	
11.9	0.47692	
12	0.487766	
12.1	0.482644	
12.2	0.507326	
12.3	0.543615	
12.4	0.579324	
12.5	0.577879	
12.6	0.551269	
12.7	0.508232	
12.8	0.489602	
12.9	0.463238	
13	0.463238	
13.1	0.426214	
13.2	0.420764	
13.3	0.42652	
13.4	0.474273	
13.5	0.497036	
13.6	0.478724	
13.7	0.451023	
13.8	0.458282	
13.9	0.485572	
14	0.504978	
14.1	0.509115	
14.2	0.503085	
14.3	0.551594	
14.4	0.562678	
14.5	0.562678	
14.6	0.566065	
14.7	0.555722	
14.8	0.529903	
14.9	0.499293	
15	0.514844	
15.1	0.529163	
15.2	0.56221	
15.3	0.611419	
15.4	0.603286	
15.5	0.533209	
15.6	0.523521	
15.7	0.537695	
15.8	0.537695	
15.9	0.591502	
16	0.579597	
16.1	0.583809	
16.2	0.612291	
16.3	0.656581	
16.4	0.721001	
16.5	0.695595	
16.6	0.721441	
16.7	0.735987	
16.8	0.78685	
16.9	0.78685	
17	0.836575	
17.1	0.896579	
17.2	0.955127	
17.3	0.957986	
17.4	0.951344	
17.5	0.920726	
17.6	0.927928	
17.7	0.935399	
17.8	0.968761	
17.9	0.98755	
18	0.98755	
18.1	0.966092	
18.2	0.968038	
18.3	0.974858	
18.4	0.989726	
18.5	1.02942	
18.6	1.06742	
18.7	1.08617	
18.8	1.13114	
18.9	1.13114	
19	1.12668	
19.1	1.12755	
19.2	1.17065	
19.3	1.21772	
19.4	1.3019	
19.5	1.36946	
19.6	1.40291	
19.7	1.39913	
19.8	1.39757	
19.9	1.38424	
20	1.38424	
