V - Plot 0	PC - Plot 0	
-20	-0.444866	
-19.9	-0.440449	
-19.8	-0.469007	
-19.7	-0.455192	
-19.6	-0.451808	
-19.5	-0.451808	
-19.4	-0.463821	
-19.3	-0.446084	
-19.2	-0.408333	
-19.1	-0.377615	
-19	-0.366838	
-18.9	-0.344565	
-18.8	-0.296181	
-18.7	-0.296181	
-18.6	-0.24001	
-18.5	-0.234791	
-18.4	-0.252465	
-18.3	-0.259891	
-18.2	-0.229196	
-18.1	-0.163294	
-18	-0.150972	
-17.9	-0.189914	
-17.8	-0.189914	
-17.7	-0.2278	
-17.6	-0.238198	
-17.5	-0.25655	
-17.4	-0.272776	
-17.3	-0.28539	
-17.2	-0.287364	
-17.1	-0.276228	
-17	-0.251822	
-16.9	-0.3101	
-16.8	-0.3101	
-16.7	-0.358356	
-16.6	-0.365954	
-16.5	-0.35361	
-16.4	-0.329719	
-16.3	-0.315736	
-16.2	-0.323248	
-16.1	-0.29567	
-16	-0.254921	
-15.9	-0.274969	
-15.8	-0.306956	
-15.7	-0.306956	
-15.6	-0.345931	
-15.5	-0.38209	
-15.4	-0.398714	
-15.3	-0.422131	
-15.2	-0.458072	
-15.1	-0.475601	
-15	-0.494074	
-14.9	-0.511348	
-14.8	-0.502573	
-14.7	-0.502573	
-14.6	-0.488719	
-14.5	-0.505908	
-14.4	-0.528661	
-14.3	-0.52202	
-14.2	-0.478239	
-14.1	-0.433951	
-14	-0.429112	
-13.9	-0.434196	
-13.8	-0.452151	
-13.7	-0.434579	
-13.6	-0.44676	
-13.5	-0.465492	
-13.4	-0.465492	
-13.3	-0.444435	
-13.2	-0.420031	
-13.1	-0.372496	
-13	-0.350162	
-12.9	-0.378044	
-12.8	-0.380387	
-12.7	-0.346231	
-12.6	-0.352931	
-12.5	-0.352931	
-12.4	-0.388942	
-12.3	-0.402087	
-12.2	-0.373905	
-12.1	-0.385545	
-12	-0.422189	
-11.9	-0.439329	
-11.8	-0.417241	
-11.7	-0.416363	
-11.6	-0.442186	
-11.5	-0.424084	
-11.4	-0.353177	
-11.3	-0.353177	
-11.2	-0.287995	
-11.1	-0.228113	
-11	-0.196771	
-10.9	-0.164847	
-10.8	-0.147122	
-10.7	-0.143398	
-10.6	-0.16192	
-10.5	-0.20186	
-10.4	-0.243436	
-10.3	-0.243436	
-10.2	-0.268384	
-10.1	-0.279675	
-10	-0.28589	
-9.9	-0.323488	
-9.8	-0.322319	
-9.7	-0.290678	
-9.6	-0.264207	
-9.5	-0.266129	
-9.4	-0.283621	
-9.3	-0.300771	
-9.2	-0.300771	
-9.1	-0.287008	
-9	-0.27137	
-8.9	-0.323477	
-8.8	-0.375556	
-8.7	-0.40395	
-8.6	-0.399466	
-8.5	-0.369416	
-8.4	-0.338627	
-8.3	-0.311265	
-8.2	-0.311265	
-8.1	-0.254028	
-8	-0.26252	
-7.9	-0.314926	
-7.8	-0.351823	
-7.7	-0.348691	
-7.6	-0.338274	
-7.5	-0.338274	
-7.4	-0.363096	
-7.3	-0.358055	
-7.2	-0.325466	
-7.1	-0.284631	
-7	-0.285246	
-6.9	-0.328947	
-6.8	-0.380741	
-6.7	-0.36731	
-6.6	-0.294601	
-6.5	-0.294601	
-6.4	-0.242518	
-6.3	-0.218123	
-6.2	-0.200746	
-6.1	-0.202072	
-6	-0.257888	
-5.9	-0.316683	
-5.8	-0.265064	
-5.7	-0.163255	
-5.6	-0.247243	
-5.5	-0.37115	
-5.4	-0.37115	
-5.3	-0.392646	
-5.2	-0.353915	
-5.1	-0.323124	
-5	-0.314224	
-4.9	-0.301266	
-4.8	-0.30582	
-4.7	-0.314532	
-4.6	-0.315014	
-4.5	-0.260702	
-4.4	-0.260702	
-4.3	-0.198844	
-4.2	-0.182167	
-4.1	-0.208699	
-4	-0.232296	
-3.9	-0.230857	
-3.8	-0.212699	
-3.7	-0.228603	
-3.6	-0.242446	
-3.5	-0.242446	
-3.4	-0.255157	
-3.3	-0.247164	
-3.2	-0.242266	
-3.1	-0.2089	
-3	-0.174191	
-2.9	-0.173507	
-2.8	-0.207053	
-2.7	-0.212434	
-2.6	-0.187812	
-2.5	-0.187351	
-2.4	-0.187351	
-2.3	-0.191974	
-2.2	-0.179539	
-2.1	-0.141698	
-2	-0.157622	
-1.9	-0.168801	
-1.8	-0.162639	
-1.7	-0.148482	
-1.6	-0.15192	
-1.5	-0.15192	
-1.4	-0.1328	
-1.3	-0.122272	
-1.2	-0.108026	
-1.1	-0.103881	
-1	-0.127315	
-0.9	-0.147369	
-0.8	-0.126678	
-0.7	-0.126678	
-0.6	-0.0943992	
-0.5	-0.0794049	
-0.4	-0.0965114	
-0.3	-0.129871	
-0.2	-0.13404	
-0.1	-0.139704	
0	-0.204141	
0.1	-0.217392	
0.2	-0.164891	
0.3	-0.137398	
0.4	-0.167865	
0.5	-0.167865	
0.6	-0.226099	
0.7	-0.282776	
0.8	-0.31986	
0.9	-0.323531	
1	-0.306088	
1.1	-0.255426	
1.2	-0.238668	
1.3	-0.230025	
1.4	-0.218565	
1.5	-0.218565	
1.6	-0.174276	
1.7	-0.138544	
1.8	-0.113164	
1.9	-0.0882213	
2	-0.085869	
2.1	-0.120088	
2.2	-0.145458	
2.3	-0.14063	
2.4	-0.14063	
2.5	-0.117135	
2.6	-0.110976	
2.7	-0.145579	
2.8	-0.197448	
2.9	-0.208099	
3	-0.202322	
3.1	-0.19416	
3.2	-0.199792	
3.3	-0.20053	
3.4	-0.179928	
3.5	-0.17394	
3.6	-0.219174	
3.7	-0.273037	
3.8	-0.273037	
3.9	-0.238899	
4	-0.189094	
4.1	-0.192913	
4.2	-0.192394	
4.3	-0.160557	
4.4	-0.134499	
4.5	-0.146517	
4.6	-0.146517	
4.7	-0.188706	
4.8	-0.181464	
4.9	-0.11543	
5	-0.0390107	
5.1	0.0111982	
5.2	0.0283192	
5.3	0.0104167	
5.4	0.00221756	
5.5	0.00221756	
5.6	0.0117975	
5.7	0.0194938	
5.8	0.011981	
5.9	-0.0312736	
6	-0.0902463	
6.1	-0.154538	
6.2	-0.186455	
6.3	-0.18702	
6.4	-0.171214	
6.5	-0.171214	
6.6	-0.153325	
6.7	-0.114962	
6.8	-0.0875692	
6.9	-0.103152	
7	-0.163412	
7.1	-0.178855	
7.2	-0.153941	
7.3	-0.142621	
7.4	-0.142621	
7.5	-0.131148	
7.6	-0.127582	
7.7	-0.0934826	
7.8	-0.0768703	
7.9	-0.0687093	
8	-0.0562542	
8.1	-0.068664	
8.2	-0.0648485	
8.3	-0.0523297	
8.4	-0.0523297	
8.5	-0.0256303	
8.6	-0.00792729	
8.7	-0.00261818	
8.8	-0.0272649	
8.9	-0.0616913	
9	-0.0786475	
9.1	-0.0888855	
9.2	-0.0744456	
9.3	-0.0619629	
9.4	-0.0769216	
9.5	-0.099739	
9.6	-0.099739	
9.7	-0.139089	
9.8	-0.174146	
9.9	-0.147726	
10	-0.110999	
10.1	-0.100507	
10.2	-0.131732	
10.3	-0.150975	
10.4	-0.148598	
10.5	-0.144607	
10.6	-0.155909	
10.7	-0.155909	
10.8	-0.155729	
10.9	-0.109498	
11	-0.0810765	
11.1	-0.0550112	
11.2	-0.0191652	
11.3	0.0245634	
11.4	0.0600513	
11.5	0.0237126	
11.6	-0.0411417	
11.7	-0.10219	
11.8	-0.10219	
11.9	-0.123063	
12	-0.102906	
12.1	-0.0646843	
12.2	-0.0725244	
12.3	-0.0770465	
12.4	-0.0373137	
12.5	0.0343191	
12.6	0.0724345	
12.7	0.0606001	
12.8	0.0606001	
12.9	0.0699801	
13	0.103587	
13.1	0.0865976	
13.2	0.0432403	
13.3	0.0158568	
13.4	0.0133789	
13.5	0.00552482	
13.6	0.0187552	
13.7	0.0377659	
13.8	0.0377659	
13.9	0.0623367	
14	0.074689	
14.1	0.0642186	
14.2	0.0201716	
14.3	0.024376	
14.4	0.0699654	
14.5	0.0940713	
14.6	0.110031	
14.7	0.110031	
14.8	0.0894334	
14.9	0.0750259	
15	0.0891989	
15.1	0.074604	
15.2	0.0217372	
15.3	-0.0394164	
15.4	-0.0621644	
15.5	-0.0492059	
15.6	-0.0424195	
15.7	-0.0335651	
15.8	-0.0335651	
15.9	0.00978296	
16	0.0704741	
16.1	0.119845	
16.2	0.106901	
16.3	0.0674997	
16.4	0.0694135	
16.5	0.0877665	
16.6	0.146424	
16.7	0.202395	
16.8	0.202395	
16.9	0.222486	
17	0.185639	
17.1	0.14939	
17.2	0.130825	
17.3	0.119969	
17.4	0.143228	
17.5	0.199574	
17.6	0.198185	
17.7	0.188918	
17.8	0.150769	
17.9	0.110223	
18	0.110223	
18.1	0.0635763	
18.2	0.0599356	
18.3	0.053774	
18.4	0.0379535	
18.5	0.0390795	
18.6	0.0268315	
18.7	-0.0100998	
18.8	-0.0194188	
18.9	-0.0194188	
19	-0.0035719	
19.1	-0.00905582	
19.2	-0.0136321	
19.3	-0.00237237	
19.4	0.0251378	
19.5	0.0660502	
19.6	0.0876902	
19.7	0.0616415	
19.8	0.0750316	
19.9	0.126175	
20	0.126175	
