V - Plot 0	PL - Plot 0	
-20	27616.9	
-19.9	28125.3	
-19.8	27922	
-19.7	28513.3	
-19.6	28513.3	
-19.5	28534.3	
-19.4	28227	
-19.3	28960.7	
-19.2	28232.6	
-19.1	27623.2	
-19	28277.3	
-18.9	28908.9	
-18.8	28460.1	
-18.7	27513.1	
-18.6	27513.1	
-18.5	27852.5	
-18.4	28604	
-18.3	27680.3	
-18.2	26802.2	
-18.1	27672.9	
-18	27627.6	
-17.9	27608	
-17.8	27726.8	
-17.7	28212.9	
-17.6	28212.9	
-17.5	27673	
-17.4	27344	
-17.3	27149.5	
-17.2	28098.2	
-17.1	27517.6	
-17	28404.8	
-16.9	28262.6	
-16.8	28030.2	
-16.7	28302	
-16.6	28302	
-16.5	27744.7	
-16.4	28810.3	
-16.3	28166.9	
-16.2	28291.3	
-16.1	28253.7	
-16	27442.2	
-15.9	27680.2	
-15.8	27718.7	
-15.7	29019.9	
-15.6	29019.9	
-15.5	27851.1	
-15.4	28129.9	
-15.3	27932	
-15.2	28919.5	
-15.1	28919.5	
-15	28240.2	
-14.9	28240.2	
-14.8	28076.2	
-14.7	15316.6	
-14.6	28113.3	
-14.5	29061.3	
-14.4	28134.2	
-14.3	28389.3	
-14.2	28474.8	
-14.1	27194.1	
-14	27943.7	
-13.9	28202.1	
-13.8	28856.6	
-13.7	28856.6	
-13.6	27934.8	
-13.5	28735.8	
-13.4	27604	
-13.3	27971.6	
-13.2	29814.4	
-13.1	29322.5	
-13	27754.6	
-12.9	29116.8	
-12.8	28396.1	
-12.7	28074.4	
-12.6	28074.4	
-12.5	28503.8	
-12.4	28735.2	
-12.3	28506.4	
-12.2	28613.6	
-12.1	27376.3	
-12	27771.4	
-11.9	29002.9	
-11.8	28201.5	
-11.7	28201.5	
-11.6	27410.6	
-11.5	27873.6	
-11.4	28271.1	
-11.3	28110.9	
-11.2	27448.7	
-11.1	27820.2	
-11	28538.3	
-10.9	28950.3	
-10.8	28081.6	
-10.7	28081.6	
-10.6	32128.1	
-10.5	26067.2	
-10.4	28490.9	
-10.3	27698.3	
-10.2	28001.8	
