V - Plot 0	PL - Plot 0	
-20	313855	
-19.9	315509	
-19.8	316134	
-19.7	316134	
-19.6	314286	
-19.5	315610	
-19.4	314954	
-19.3	318732	
-19.2	316252	
-19.1	316942	
-19	320192	
-18.9	318896	
-18.8	317560	
-18.7	316559	
-18.6	316528	
-18.5	316528	
-18.4	317089	
-18.3	314852	
-18.2	321580	
-18.1	317180	
-18	319225	
-17.9	315027	
-17.8	318566	
-17.7	321311	
-17.6	321271	
-17.5	321271	
-17.4	322652	
-17.3	325447	
-17.2	323674	
-17.1	323023	
-17	322176	
-16.9	325119	
-16.8	324954	
-16.7	325592	
-16.6	325978	
-16.5	325978	
-16.4	326622	
-16.3	326784	
-16.2	325889	
-16.1	326846	
-16	325585	
-15.9	324718	
-15.8	323972	
-15.7	325435	
-15.6	325413	
-15.5	326914	
-15.4	321476	
-15.3	321476	
-15.2	326134	
-15.1	324705	
-15	323849	
-14.9	322587	
-14.8	320300	
-14.7	318171	
-14.6	321282	
-14.5	315971	
-14.4	321731	
-14.3	321731	
-14.2	319007	
-14.1	329468	
-14	310435	
-13.9	317708	
-13.8	321743	
-13.7	320802	
-13.6	316876	
-13.5	323672	
-13.4	323672	
-13.3	321606	
-13.2	320916	
-13.1	321652	
-13	320446	
-12.9	322006	
-12.8	334518	
-12.7	317330	
-12.6	324557	
-12.5	324557	
-12.4	321073	
-12.3	323435	
-12.2	323169	
-12.1	322788	
-12	320801	
-11.9	318881	
-11.8	323185	
-11.7	321327	
-11.6	321389	
-11.5	319657	
-11.4	319657	
-11.3	320948	
-11.2	323157	
-11.1	321024	
-11	318403	
-10.9	321575	
-10.8	323685	
-10.7	323685	
-10.6	317650	
-10.5	322298	
-10.4	319228	
-10.3	317951	
-10.2	318762	
-10.1	322083	
-10	318693	
-9.9	319836	
-9.8	315630	
-9.7	317985	
-9.6	317985	
-9.5	320831	
-9.4	318513	
-9.3	322178	
-9.2	318345	
-9.1	318510	
-9	332166	
-8.9	332166	
-8.8	308273	
-8.7	318119	
-8.6	319091	
-8.5	319878	
-8.4	320571	
-8.3	326213	
-8.2	316038	
-8.1	316038	
-8	317952	
-7.9	339672	
-7.8	296207	
-7.7	318126	
-7.6	315408	
-7.5	317366	
-7.4	316344	
-7.3	314719	
-7.2	314719	
-7.1	314594	
-7	318479	
-6.9	313446	
-6.8	316842	
-6.7	315760	
-6.6	314928	
-6.5	312317	
-6.4	317285	
-6.3	317495	
-6.2	317495	
-6.1	321249	
-6	320210	
-5.9	320251	
-5.8	316872	
-5.7	319916	
-5.6	319988	
-5.5	318454	
-5.4	320553	
-5.3	319097	
-5.2	317398	
-5.1	317398	
-5	320332	
-4.9	321965	
-4.8	323303	
-4.7	321286	
-4.6	322474	
-4.5	317668	
-4.4	319923	
-4.3	322788	
-4.2	322788	
-4.1	322909	
-4	321284	
-3.9	322282	
-3.8	319915	
-3.7	321789	
-3.6	321355	
-3.5	321033	
-3.4	317892	
-3.3	322562	
-3.2	322562	
-3.1	317719	
-3	315067	
-2.9	320736	
-2.8	309333	
-2.7	315459	
-2.6	318671	
-2.5	314841	
-2.4	315248	
-2.3	317328	
-2.2	318133	
-2.1	318133	
-2	316996	
-1.9	316893	
-1.8	317862	
-1.7	318558	
-1.6	318463	
-1.5	318954	
-1.4	331883	
-1.3	302358	
-1.2	320824	
-1.1	320824	
-1	322019	
-0.9	323928	
