Freqency (MHz) - Plot 0	PL - Plot 0	
2820.000	79122.2	
2821.000	72277.6	
2822.000	75230.5	
2823.000	75676.5	
2824.000	75715.5	
2825.000	75137	
2826.000	74859.5	
2827.000	74626.2	
2828.000	74323	
2829.000	74388.8	
2830.000	74374	
2831.000	74156	
2832.000	73967.4	
2833.000	75017.4	
2834.000	73997.5	
2835.000	72116.8	
2836.000	74436.4	
2837.000	74134.8	
2838.000	73769.4	
2839.000	73322.5	
2840.000	73912.7	
2841.000	74291.5	
2842.000	74562.3	
2843.000	73025.3	
2844.000	72884.4	
2845.000	74289.4	
2846.000	72163.5	
2847.000	72641.4	
2848.000	72578.2	
2849.000	73482.2	
2850.000	72963.3	
2851.000	71129	
2852.000	73459.9	
2853.000	110739	
2854.000	64886.8	
2855.000	71799.4	
2856.000	72030.5	
2857.000	71246.4	
2858.000	70890.6	
2859.000	71479.9	
2860.000	70689.2	
2861.000	71706.5	
2862.000	70596.1	
2863.000	70166.1	
2864.000	70534	
2865.000	69328.6	
2866.000	70125.3	
2867.000	69753.5	
2868.000	68865.5	
2869.000	68671.2	
2870.000	68109.8	
2871.000	69765	
2872.000	67894.4	
2873.000	68175.7	
2874.000	68005.2	
2875.000	67693.9	
2876.000	68448.2	
2877.000	69455.8	
2878.000	68667.1	
2879.000	69827.8	
2880.000	67976.1	
2881.000	69179.2	
2882.000	70336.7	
2883.000	70181.7	
2884.000	69531.8	
2885.000	71527.3	
2886.000	68621.8	
2887.000	69888.5	
2888.000	70438.3	
2889.000	69769.3	
2890.000	69802.5	
2891.000	69924.7	
2892.000	70320.2	
2893.000	70285.4	
2894.000	70828.2	
2895.000	70764.9	
2896.000	70246.8	
2897.000	70237.4	
2898.000	71035	
2899.000	70710.5	
2900.000	70753.9	
2901.000	71069.1	
2902.000	70019	
2903.000	71300.7	
2904.000	70408.9	
2905.000	70984.3	
2906.000	69402.7	
2907.000	69756.1	
2908.000	70757.7	
2909.000	71255.4	
2910.000	71152.6	
2911.000	70436.5	
2912.000	69768.9	
2913.000	69967.3	
2914.000	70968.4	
2915.000	70083.7	
2916.000	69656.8	
2917.000	69980.9	
2918.000	69520	
2919.000	70165.2	
2920.000	70626.4	
