Freqency (MHz) - Plot 0	PL - Plot 0	
2820.000	85201.8	
2821.000	84016.6	
2822.000	84166	
2823.000	84547.4	
2824.000	84856.7	
2825.000	85012.9	
2826.000	82511.2	
2827.000	84328.3	
2828.000	84365.7	
2829.000	84550.8	
2830.000	84749.1	
2831.000	84179.1	
2832.000	84376.5	
2833.000	84856.1	
2834.000	83956.2	
2835.000	84143.5	
2836.000	84144.7	
2837.000	85967.2	
2838.000	84732.4	
2839.000	84510	
2840.000	84589.2	
2841.000	83493.1	
2842.000	84650.5	
2843.000	84188.1	
2844.000	84093.4	
2845.000	83932.9	
2846.000	84079	
2847.000	84212.7	
2848.000	84750.7	
2849.000	83823.2	
2850.000	83680.1	
2851.000	85226.5	
2852.000	83273.2	
2853.000	85315.2	
2854.000	82440.1	
2855.000	83259.6	
2856.000	83349	
2857.000	84118.2	
2858.000	83567	
2859.000	84295.9	
2860.000	84955.7	
2861.000	83276.3	
2862.000	85322.5	
2863.000	80103.4	
2864.000	83870.3	
2865.000	83331.5	
2866.000	83786.6	
2867.000	84100	
2868.000	83467.7	
2869.000	84136.2	
2870.000	83227.2	
2871.000	82990.7	
2872.000	83293.9	
2873.000	84487.8	
2874.000	83805	
2875.000	84041.1	
2876.000	84140	
2877.000	83655.8	
2878.000	83797.2	
2879.000	83741.8	
2880.000	83782.4	
2881.000	84806	
2882.000	84152.8	
2883.000	86864.2	
2884.000	82405.2	
2885.000	85092	
2886.000	83789.1	
2887.000	83967.9	
2888.000	84307.6	
2889.000	83967.8	
2890.000	84072.9	
2891.000	84171.9	
2892.000	84061	
2893.000	84847.5	
2894.000	84476.9	
2895.000	83695.4	
2896.000	84656.1	
2897.000	84153.8	
2898.000	84657.5	
2899.000	83564.2	
2900.000	84465.7	
2901.000	84011.8	
2902.000	84628	
2903.000	83689.2	
2904.000	84133.6	
2905.000	84360.4	
2906.000	83606.9	
2907.000	84074.9	
2908.000	83208.3	
2909.000	83671.6	
2910.000	83674	
2911.000	83480.7	
2912.000	84238	
2913.000	84100.8	
2914.000	83625.3	
2915.000	83505.9	
2916.000	84074.9	
2917.000	83394.6	
2918.000	83426.4	
2919.000	83205.4	
2920.000	82689.4	
