V - Plot 0	PL - Plot 0	
-20	87516.9	
-19.9	89666	
-19.8	90344.3	
-19.7	91128.1	
-19.6	91390.6	
-19.5	89949.3	
-19.4	90594	
-19.3	90610.7	
-19.2	91567.4	
-19.1	91279	
-19	89868.2	
-18.9	90808.9	
-18.8	90034.4	
-18.7	90850	
-18.6	90183.6	
-18.5	90291.4	
-18.4	91824	
-18.3	90313.8	
-18.2	92478.2	
-18.1	89998.4	
-18	92017.8	
-17.9	90035	
-17.8	89575.3	
-17.7	90854.9	
-17.6	89922.7	
-17.5	90171.5	
-17.4	91703.4	
-17.3	88820.7	
-17.2	91397.3	
-17.1	90050.7	
-17	91107.2	
-16.9	91183.8	
-16.8	90447.7	
-16.7	90312.1	
-16.6	89784	
-16.5	90915.5	
-16.4	89300.1	
-16.3	91725.6	
-16.2	89874.5	
-16.1	90304.1	
-16	88526.6	
-15.9	91617.5	
-15.8	89837.3	
-15.7	91876.6	
-15.6	88621.6	
-15.5	90526.9	
-15.4	91410.9	
-15.3	91443.7	
-15.2	91649.8	
-15.1	91495.7	
-15	91173.7	
-14.9	90944.1	
-14.8	90222.4	
-14.7	90122.8	
-14.6	90104.2	
-14.5	92729.6	
-14.4	92429.7	
-14.3	91996.7	
-14.2	91425.3	
-14.1	91874	
-14	89726.2	
-13.9	90354.1	
-13.8	92029	
-13.7	90408.9	
-13.6	89204.7	
-13.5	90905.5	
-13.4	91916.4	
-13.3	90494.8	
-13.2	90868.3	
-13.1	88956.1	
-13	90195.1	
-12.9	91404.6	
-12.8	91365.2	
-12.7	90874.4	
-12.6	91231.6	
-12.5	92183.2	
-12.4	91287.7	
-12.3	91348.3	
-12.2	91333.9	
-12.1	90588.5	
-12	90449.2	
-11.9	89718.5	
-11.8	89751.6	
-11.7	91505.7	
-11.6	90938.6	
-11.5	91261.5	
-11.4	90027.2	
-11.3	89875.1	
-11.2	92039.5	
-11.1	91295.7	
-11	91704.8	
-10.9	91916.9	
-10.8	91313.4	
-10.7	91985.4	
-10.6	90656.6	
-10.5	89824	
-10.4	93134	
-10.3	93878	
-10.2	87506.3	
-10.1	91388.4	
-10	91313.9	
-9.9	90245.3	
-9.8	89888	
-9.7	89924.2	
-9.6	90402.3	
-9.5	91830	
-9.4	90409.7	
-9.3	90385	
-9.2	89884.2	
-9.1	91295.6	
-9	90173.7	
-8.9	88921.9	
-8.8	90700	
-8.7	90431	
-8.6	89043.2	
-8.5	89999.5	
-8.4	91892.8	
-8.3	89891.1	
-8.2	89447.3	
-8.1	98583.8	
-8	83931.1	
-7.9	89502.8	
-7.8	90576	
-7.7	89395.5	
-7.6	88936.1	
-7.5	89496	
-7.4	91157.7	
-7.3	91152.6	
-7.2	90682.5	
-7.1	90533.5	
-7	89043.3	
-6.9	88897	
-6.8	90637.1	
-6.7	88183.6	
-6.6	91350.5	
-6.5	91316.2	
-6.4	88833.6	
-6.3	91880.5	
-6.2	89705.2	
-6.1	93492.2	
-6	83276.9	
-5.9	90925.1	
-5.8	90163.3	
-5.7	88705.3	
-5.6	94937.4	
-5.5	85995.9	
-5.4	91367.6	
-5.3	90674.6	
-5.2	90627.4	
-5.1	90245.4	
-5	92275.2	
-4.9	91115.8	
-4.8	91192.6	
-4.7	90862.6	
-4.6	90904.5	
-4.5	92185.6	
-4.4	90531.8	
-4.3	91484.7	
-4.2	90406.9	
-4.1	90885.9	
-4	90657	
-3.9	90831.2	
-3.8	91087.1	
-3.7	91446.5	
-3.6	90338.8	
-3.5	91716.8	
-3.4	91326.3	
-3.3	92530.4	
-3.2	90360	
-3.1	89620.8	
-3	90432.9	
-2.9	90601.1	
-2.8	90045.7	
-2.7	88130.1	
-2.6	91515.2	
-2.5	90095.2	
-2.4	86802.4	
-2.3	90715.4	
-2.2	85490	
-2.1	87169.9	
-2	86938.2	
-1.9	88557.4	
-1.8	87068.7	
-1.7	87291.4	
-1.6	90355.5	
-1.5	84545.4	
-1.4	86838.3	
-1.3	85906.6	
-1.2	88066.8	
-1.1	87797.9	
-1	86123.6	
-0.9	85106.6	
-0.8	84131.1	
-0.7	87017.1	
-0.6	86798.8	
-0.5	86402.7	
-0.4	86030.3	
-0.3	86509.5	
-0.2	86020.1	
-0.1	85882.9	
0	85399.2	
0.1	86011.8	
0.2	85775.2	
0.3	84491.4	
0.4	86591.7	
0.5	85454.5	
0.6	85476.4	
0.7	86355	
0.8	86152.7	
0.9	86223.6	
1	85861.4	
1.1	86573.4	
1.2	87109.3	
1.3	85187.8	
1.4	86205.1	
1.5	85230	
1.6	85683	
1.7	86786.9	
1.8	85232.7	
1.9	84141.8	
2	85976	
2.1	86130.6	
2.2	87488.7	
2.3	87033.4	
2.4	85557.9	
2.5	87135.2	
2.6	88249.1	
2.7	86682.4	
2.8	86777.2	
2.9	87855.1	
3	87674.4	
3.1	88030	
3.2	89991	
3.3	90500.1	
3.4	91097.7	
3.5	89744.3	
3.6	89375.2	
3.7	90071.3	
3.8	90083.7	
3.9	91196.5	
4	88606.3	
4.1	89466	
4.2	90246.9	
4.3	92129	
4.4	90888.3	
4.5	90652.6	
4.6	89471.1	
4.7	89252.3	
4.8	89292.3	
4.9	89984.9	
5	93643.9	
5.1	91020.8	
5.2	90074.7	
5.3	91623.5	
5.4	89748.7	
5.5	90491.2	
5.6	91301.8	
5.7	88784.6	
5.8	88649.3	
5.9	92235.9	
6	89738.4	
6.1	89507.7	
6.2	90978.3	
6.3	90071.2	
6.4	90928.3	
6.5	92148.8	
6.6	91318.7	
6.7	90658.6	
6.8	89245.6	
6.9	91101.7	
7	90615.3	
7.1	99424.5	
7.2	84641.2	
7.3	90854.2	
7.4	90804.1	
7.5	90000.5	
7.6	88638.5	
7.7	90207	
7.8	90409.3	
7.9	92415.1	
8	90048.7	
8.1	90034.1	
8.2	90354.9	
8.3	92120.4	
8.4	90041.2	
8.5	91206.5	
8.6	91795.2	
8.7	90305.4	
8.8	91576.6	
8.9	89476.9	
9	90329.1	
9.1	90920.2	
9.2	89453.9	
9.3	98475.2	
9.4	86182.3	
9.5	92075.4	
9.6	88798	
9.7	92438.1	
9.8	89748.5	
9.9	90353.2	
10	91330.8	
10.1	91668	
10.2	89096.9	
10.3	97063.6	
10.4	84918.3	
10.5	89337.5	
10.6	92506.4	
10.7	92794.6	
10.8	88065	
10.9	90757.5	
11	90737.5	
11.1	92535.2	
11.2	91848.7	
11.3	92058	
11.4	91376.2	
11.5	91148.7	
11.6	91320.4	
11.7	89703.4	
11.8	90974.6	
11.9	90557.9	
12	90706.6	
12.1	89447.6	
12.2	90777.1	
12.3	89934.7	
12.4	90395	
12.5	89821.2	
12.6	91413.4	
12.7	91838	
12.8	90287.4	
12.9	96914.7	
13	87431.2	
13.1	90364.7	
13.2	91122.5	
13.3	88991.4	
13.4	92313.4	
13.5	89531.8	
13.6	91581.4	
13.7	90728.6	
13.8	90475.9	
13.9	91423	
14	92427.5	
14.1	90917.3	
14.2	90328.9	
14.3	90866.3	
14.4	90534.9	
14.5	90364.5	
14.6	91655.2	
14.7	91639.1	
14.8	90948	
14.9	91898.5	
15	91560.9	
15.1	90937.7	
15.2	88872.5	
15.3	92384.2	
15.4	88611	
15.5	92048.2	
15.6	90324.2	
15.7	90334.7	
15.8	90225.6	
15.9	89620.1	
16	90543	
16.1	91128.6	
16.2	91499.9	
16.3	89145.3	
16.4	89679.7	
16.5	91237.8	
16.6	89990.7	
16.7	90249.4	
16.8	89158.3	
16.9	90922.5	
17	89462.5	
17.1	90236.5	
17.2	89709.1	
17.3	91439.2	
17.4	90993.6	
17.5	91844.7	
17.6	90044.9	
17.7	92032.1	
17.8	92189.9	
17.9	89036.5	
18	92037.4	
18.1	89218	
18.2	88704.9	
18.3	89216.5	
18.4	90540.9	
