Freqency (MHz) - Plot 0	PL - Plot 0	
2820.000	91887.5	
2821.000	89625.6	
2822.000	91301.9	
2823.000	91255.1	
2824.000	91731	
2825.000	91942.8	
2826.000	90647.5	
2827.000	91548.4	
2828.000	90685.8	
2829.000	91673.9	
2830.000	90545.5	
2831.000	90667	
2832.000	91725.4	
2833.000	90797	
2834.000	90228	
2835.000	90854.9	
2836.000	90853.4	
2837.000	90666.2	
2838.000	90996.9	
2839.000	90721.4	
2840.000	90444.4	
2841.000	91309.1	
2842.000	90165	
2843.000	90365	
2844.000	90535.7	
2845.000	90786.3	
2846.000	90803.5	
2847.000	91026.3	
2848.000	91063	
2849.000	90241.2	
2850.000	91006.2	
2851.000	90851.3	
2852.000	90422.3	
2853.000	90316.9	
2854.000	89994.8	
2855.000	89865.1	
2856.000	90139.7	
2857.000	89742.1	
2858.000	89565.1	
2859.000	89418.9	
2860.000	90116.3	
2861.000	89210.3	
2862.000	89538.2	
2863.000	88750.1	
2864.000	88823.1	
2865.000	89026.9	
2866.000	89597.2	
2867.000	89038.1	
2868.000	89185.1	
2869.000	89377.6	
2870.000	89561.3	
2871.000	88762.7	
2872.000	88900.9	
2873.000	89251.2	
2874.000	88956.3	
2875.000	89424.1	
2876.000	89431.5	
2877.000	89181.3	
2878.000	89407.7	
2879.000	88638.4	
2880.000	88808.5	
2881.000	89181.9	
2882.000	89714.5	
2883.000	89634.4	
2884.000	90316.2	
2885.000	90901.6	
2886.000	90059.7	
2887.000	90091.7	
2888.000	91270.6	
2889.000	90480.1	
2890.000	90481.8	
2891.000	90029.2	
2892.000	90972.2	
2893.000	90942.5	
2894.000	90996.4	
2895.000	91796.6	
2896.000	90165.7	
2897.000	91070.5	
2898.000	90913.1	
2899.000	91195.4	
2900.000	90768.1	
2901.000	90930.8	
2902.000	90976.2	
2903.000	90990.9	
2904.000	91003.4	
2905.000	91339.9	
2906.000	90605.6	
2907.000	91193.6	
2908.000	91116.2	
2909.000	90732.8	
2910.000	90717.3	
2911.000	90838.8	
2912.000	91068	
2913.000	91867.7	
2914.000	90817	
2915.000	91029.3	
2916.000	90935.2	
2917.000	90913	
2918.000	90843.4	
2919.000	91628.2	
2920.000	91332.5	
