Freqency (MHz) - Plot 0	PL - Plot 0	
2820.000	90330.5	
2821.000	90064.8	
2822.000	89889.3	
2823.000	90239.2	
2824.000	90904.6	
2825.000	89414.1	
2826.000	90559.9	
2827.000	89517.9	
2828.000	89128.8	
2829.000	89195.8	
2830.000	90351	
2831.000	90823	
2832.000	89189.6	
2833.000	89803	
2834.000	89021	
2835.000	89187.3	
2836.000	89820.3	
2837.000	89869.5	
2838.000	89032.5	
2839.000	89797.4	
2840.000	88920.5	
2841.000	89818.9	
2842.000	89217.9	
2843.000	89357.8	
2844.000	89381.7	
2845.000	88885.4	
2846.000	89150.8	
2847.000	88885.4	
2848.000	89120.1	
2849.000	88637.7	
2850.000	89761.3	
2851.000	88050.3	
2852.000	88612	
2853.000	88529.9	
2854.000	88784.6	
2855.000	87933.4	
2856.000	88212.1	
2857.000	88021.3	
2858.000	88278.9	
2859.000	87924.4	
2860.000	87969	
2861.000	88408.4	
2862.000	87794.7	
2863.000	87855.7	
2864.000	86819.7	
2865.000	87093.1	
2866.000	86994.2	
2867.000	86862.6	
2868.000	87240.3	
2869.000	86861	
2870.000	87121.6	
2871.000	87134	
2872.000	86720.5	
2873.000	86819.9	
2874.000	86966.8	
2875.000	87385.1	
2876.000	88115.6	
2877.000	86933.5	
2878.000	87135.9	
2879.000	87948.7	
2880.000	88143.1	
2881.000	88617.9	
2882.000	89970.3	
2883.000	88249.1	
2884.000	88196.2	
2885.000	89269.3	
2886.000	88870.4	
2887.000	89334.3	
2888.000	89540.5	
2889.000	88737.1	
2890.000	90124.9	
2891.000	89110	
2892.000	88929.2	
2893.000	89180.3	
2894.000	89719.2	
2895.000	89548.4	
2896.000	90765.5	
2897.000	88699.3	
2898.000	90184.5	
2899.000	89814	
2900.000	90078.3	
2901.000	89465.4	
2902.000	90084.3	
2903.000	89335	
2904.000	89839.1	
2905.000	90387.4	
2906.000	89426.3	
2907.000	89583.3	
2908.000	90104.7	
2909.000	90513.2	
2910.000	89047	
2911.000	90164.5	
2912.000	89610.4	
2913.000	88670.6	
2914.000	91614.1	
2915.000	89705.3	
2916.000	90343.7	
2917.000	90100.2	
2918.000	89655.1	
2919.000	90408	
2920.000	89123.4	
