Freqency (MHz) - Plot 0	PC - Plot 0	
2820.000	0.707035	
2821.000	0.703557	
2822.000	0.704691	
2823.000	0.695499	
2824.000	0.687862	
2825.000	0.689593	
2826.000	0.691339	
2827.000	0.677206	
2828.000	0.671444	
2829.000	0.675866	
2830.000	0.677932	
2831.000	0.674226	
2832.000	0.670619	
2833.000	0.669434	
2834.000	0.674736	
2835.000	0.684222	
2836.000	0.681567	
2837.000	0.670701	
2838.000	0.656958	
2839.000	0.646616	
2840.000	0.645195	
2841.000	0.643113	
2842.000	0.633339	
2843.000	0.62734	
2844.000	0.619827	
2845.000	0.622316	
2846.000	0.629467	
2847.000	0.633883	
2848.000	0.631947	
2849.000	0.632259	
2850.000	0.630774	
2851.000	0.627656	
2852.000	0.62744	
2853.000	0.640835	
2854.000	0.659283	
2855.000	0.670109	
2856.000	0.672999	
2857.000	0.668756	
2858.000	0.664539	
2859.000	0.666616	
2860.000	0.668815	
2861.000	0.675812	
2862.000	0.671139	
2863.000	0.673182	
2864.000	0.673887	
2865.000	0.671879	
2866.000	0.668118	
2867.000	0.670439	
2868.000	0.669725	
2869.000	0.665536	
2870.000	0.673508	
2871.000	0.682476	
2872.000	0.677169	
2873.000	0.670292	
2874.000	0.672785	
2875.000	0.67962	
2876.000	0.669945	
2877.000	0.676365	
2878.000	0.689808	
2879.000	0.684942	
2880.000	0.67619	
2881.000	0.660982	
2882.000	0.646696	
2883.000	0.634327	
2884.000	0.633447	
2885.000	0.703207	
2886.000	0.756041	
2887.000	0.762948	
2888.000	0.776315	
2889.000	0.789725	
2890.000	0.772335	
2891.000	0.750284	
2892.000	0.739645	
2893.000	0.740062	
2894.000	0.753247	
2895.000	0.759588	
2896.000	0.754358	
2897.000	0.749745	
2898.000	0.754994	
2899.000	0.758365	
2900.000	0.77066	
2901.000	0.775133	
2902.000	0.78196	
2903.000	0.779196	
2904.000	0.767683	
2905.000	0.755139	
2906.000	0.748121	
2907.000	0.749431	
2908.000	0.76418	
2909.000	0.772962	
2910.000	0.775515	
2911.000	0.775654	
2912.000	0.769761	
2913.000	0.769602	
2914.000	0.768523	
2915.000	0.774534	
2916.000	0.782035	
2917.000	0.784236	
2918.000	0.776223	
2919.000	0.770905	
2920.000	0.765728	
