V - Plot 0	PC - Plot 0	
-20	0.102603	
-19.9	-8.18992	
-19.8	-12.5519	
-19.7	-12.5519	
-19.6	-10.4908	
-19.5	-7.23559	
-19.4	-4.615	
-19.3	-2.92306	
-19.2	-2.03451	
-19.1	-1.63767	
-19	-1.44682	
-18.9	-1.38237	
-18.8	-1.38237	
-18.7	-1.35965	
-18.6	-1.33049	
-18.5	-1.28715	
-18.4	-1.22356	
-18.3	-1.17656	
-18.2	-1.15181	
-18.1	-1.15009	
-18	-1.17506	
-17.9	-1.17506	
-17.8	-1.17107	
-17.7	-1.17752	
-17.6	-1.1743	
-17.5	-1.15684	
-17.4	-1.13227	
-17.3	-1.15433	
-17.2	-1.18189	
-17.1	-1.16886	
-17	-1.11112	
-16.9	-1.11112	
-16.8	-1.05913	
-16.7	-1.02812	
-16.6	-1.0135	
-16.5	-0.999026	
-16.4	-0.987912	
-16.3	-1.01909	
-16.2	-1.04009	
-16.1	-1.04686	
-16	-1.01963	
-15.9	-0.961316	
-15.8	-0.903375	
-15.7	-0.903375	
-15.6	-0.897481	
-15.5	-0.908839	
-15.4	-0.91129	
-15.3	-0.887495	
-15.2	-0.839476	
-15.1	-0.814587	
-15	-0.789972	
-14.9	-0.810697	
-14.8	-0.866362	
-14.7	-0.924978	
-14.6	-0.892386	
-14.5	-0.892386	
-14.4	-0.850447	
-14.3	-0.839239	
-14.2	-0.822333	
-14.1	-0.797339	
-14	-0.787009	
-13.9	-0.779332	
-13.8	-0.779332	
-13.7	-0.74896	
-13.6	-0.742125	
-13.5	-0.741181	
-13.4	-0.745086	
-13.3	-0.756028	
-13.2	-0.744145	
-13.1	-0.707341	
-13	-0.679574	
-12.9	-0.628367	
-12.8	-0.620887	
-12.7	-0.653276	
-12.6	-0.653276	
-12.5	-0.645888	
-12.4	-0.627919	
-12.3	-0.614088	
-12.2	-0.593175	
-12.1	-0.603918	
-12	-0.606972	
-11.9	-0.574856	
-11.8	-0.542996	
-11.7	-0.542996	
-11.6	-0.538776	
-11.5	-0.569635	
-11.4	-0.604592	
-11.3	-0.609528	
-11.2	-0.620525	
-11.1	-0.607417	
-11	-0.603836	
-10.9	-0.603836	
-10.8	-0.572461	
-10.7	-0.512643	
-10.6	-0.463145	
-10.5	-0.433513	
-10.4	-0.45131	
-10.3	-0.451664	
-10.2	-0.44166	
-10.1	-0.435928	
-10	-0.409658	
-9.9	-0.409658	
-9.8	-0.378767	
-9.7	-0.356332	
-9.6	-0.36724	
-9.5	-0.372274	
-9.4	-0.374444	
-9.3	-0.395228	
-9.2	-0.3907	
-9.1	-0.3907	
-9	-0.383577	
-8.9	-0.356137	
-8.8	-0.299756	
-8.7	-0.268749	
-8.6	-0.255063	
-8.5	-0.222756	
-8.4	-0.200347	
-8.3	-0.212069	
-8.2	-0.212069	
-8.1	-0.252688	
-8	-0.317864	
-7.9	-0.320854	
-7.8	-0.295773	
-7.7	-0.321741	
-7.6	-0.32964	
-7.5	-0.32964	
-7.4	-0.341161	
-7.3	-0.350719	
-7.2	-0.325403	
-7.1	-0.270427	
-7	-0.185434	
-6.9	-0.154282	
-6.8	-0.140414	
-6.7	-0.140414	
-6.6	-0.121733	
-6.5	-0.10295	
-6.4	-0.113581	
-6.3	-0.129719	
-6.2	-0.149397	
-6.1	-0.16018	
-6	-0.182993	
-5.9	-0.192229	
-5.8	-0.207278	
-5.7	-0.207278	
-5.6	-0.201012	
-5.5	-0.20822	
-5.4	-0.223929	
-5.3	-0.225692	
-5.2	-0.221577	
-5.1	-0.187133	
-5	-0.12987	
-4.9	-0.103612	
-4.8	-0.0829392	
-4.7	-0.0829392	
-4.6	-0.0920984	
-4.5	-0.0871709	
-4.4	-0.113207	
-4.3	-0.133024	
-4.2	-0.124536	
-4.1	-0.145138	
-4	-0.132299	
-3.9	-0.0874917	
-3.8	-0.0842647	
-3.7	-0.0842647	
-3.6	-0.0856828	
-3.5	-0.0572596	
-3.4	-0.0472208	
-3.3	-0.0549228	
-3.2	-0.0863384	
-3.1	-0.118178	
-3	-0.13666	
-2.9	-0.133545	
-2.8	-0.129507	
-2.7	-0.129507	
-2.6	-0.112679	
-2.5	-0.130286	
-2.4	-0.118048	
-2.3	-0.104483	
-2.2	-0.114078	
-2.1	-0.117311	
-2	-0.0848226	
-1.9	-0.0727376	
-1.8	-0.0746227	
-1.7	-0.072613	
-1.6	-0.0490636	
-1.5	-0.0490636	
-1.4	-0.019941	
-1.3	-0.0356119	
-1.2	-0.0639716	
-1.1	-0.105553	
-1	-0.130883	
-0.9	-0.129657	
-0.8	-0.0997711	
-0.7	-0.0614505	
-0.6	-0.0614505	
-0.5	-0.0104505	
-0.4	0.0320929	
-0.3	0.0517069	
-0.2	0.0656385	
-0.1	0.0505965	
0	-0.01199	
0.1	-0.0515024	
0.2	-0.0286764	
0.3	0.0124812	
0.4	0.0124812	
0.5	0.0633635	
0.6	0.11479	
0.7	0.150229	
0.8	0.177144	
0.9	0.22136	
1	0.266617	
1.1	0.288884	
1.2	0.287405	
1.3	0.229401	
1.4	0.229401	
1.5	0.153895	
1.6	0.111242	
1.7	0.0862542	
1.8	0.0801235	
1.9	0.0840589	
2	0.101174	
2.1	0.134481	
2.2	0.175018	
2.3	0.166363	
2.4	0.166363	
2.5	0.166569	
2.6	0.21362	
2.7	0.268907	
2.8	0.302746	
2.9	0.315508	
3	0.330257	
3.1	0.348323	
3.2	0.348323	
3.3	0.332831	
3.4	0.311542	
3.5	0.303385	
3.6	0.31426	
3.7	0.300641	
3.8	0.320788	
3.9	0.361206	
4	0.391425	
4.1	0.408024	
4.2	0.408024	
4.3	0.424022	
4.4	0.458081	
4.5	0.497887	
4.6	0.522674	
4.7	0.509314	
4.8	0.47988	
4.9	0.474091	
5	0.48847	
5.1	0.544956	
5.2	0.583014	
5.3	0.583014	
5.4	0.596903	
5.5	0.575781	
5.6	0.549127	
5.7	0.545447	
5.8	0.570325	
5.9	0.608796	
6	0.618384	
6.1	0.608589	
6.2	0.547309	
