V - Plot 0	PL - Plot 0	
-20	84405.9	
-19.9	85827.7	
-19.8	87589.5	
-19.7	87589.5	
-19.6	86175.3	
-19.5	87189.7	
-19.4	86056.3	
-19.3	85907.6	
-19.2	84432.2	
-19.1	86783.5	
-19	85162	
-18.9	85702	
-18.8	85601.8	
-18.7	85906.8	
-18.6	87925.3	
-18.5	87925.3	
-18.4	86167.2	
-18.3	88011.1	
-18.2	86129.2	
-18.1	85095.4	
-18	86259.1	
-17.9	86339.7	
-17.8	84921.3	
-17.7	86820.1	
-17.6	85085.4	
-17.5	85085.4	
-17.4	85892.6	
-17.3	87586.6	
-17.2	86822.4	
-17.1	86760	
-17	85925.6	
-16.9	85313.4	
-16.8	85042	
-16.7	87047.8	
-16.6	85864	
-16.5	85864	
-16.4	86424.7	
-16.3	86660.1	
-16.2	85771.1	
-16.1	85701.7	
-16	85117.6	
-15.9	86615.2	
-15.8	88203.8	
-15.7	84648.8	
-15.6	84648.8	
-15.5	85132.1	
-15.4	86348.7	
-15.3	85173.6	
-15.2	85514.1	
-15.1	84898.3	
-15	86130.9	
-14.9	86261.7	
-14.8	85320.8	
-14.7	85866.4	
-14.6	83823	
-14.5	83823	
-14.4	86498.7	
-14.3	87361.4	
-14.2	84968.8	
-14.1	87024	
-14	85873.8	
-13.9	86531.9	
-13.8	86436.4	
-13.7	86526.5	
-13.6	86863	
-13.5	85813	
-13.4	85813	
-13.3	87420.2	
-13.2	85623.1	
-13.1	87600.9	
-13	86289	
-12.9	87037	
-12.8	86127.1	
-12.7	86698.9	
-12.6	85376	
-12.5	85554.8	
-12.4	85529.2	
-12.3	85529.2	
-12.2	85121.3	
-12.1	85334.3	
-12	85397.1	
-11.9	85919.7	
-11.8	86180.8	
-11.7	85396.6	
-11.6	86665.8	
-11.5	94972.1	
-11.4	81098.1	
-11.3	81098.1	
-11.2	86045.7	
-11.1	86587.6	
-11	86512.5	
-10.9	87483.4	
-10.8	87098.2	
-10.7	85529.2	
-10.6	85828.4	
-10.5	86045.2	
-10.4	86813.1	
-10.3	86813.1	
-10.2	86658.7	
-10.1	86574.4	
-10	87274.1	
-9.9	86962.8	
-9.8	86785.2	
-9.7	87212.1	
-9.6	85215.8	
-9.5	87058	
-9.4	85449.5	
-9.3	85947.1	
-9.2	85947.1	
-9.1	85893.6	
-9	84929	
-8.9	85879.7	
-8.8	85735.7	
-8.7	86049.6	
-8.6	87488.6	
-8.5	85749.2	
-8.4	85749.2	
-8.3	85631.7	
-8.2	84680.3	
-8.1	84393.9	
-8	86480.1	
-7.9	87410.1	
-7.8	86301.1	
-7.7	86464.4	
-7.6	86464.4	
-7.5	86391.9	
-7.4	88514.3	
-7.3	85837.8	
-7.2	88542.7	
-7.1	87597.1	
-7	85413.3	
-6.9	84493	
-6.8	84636	
-6.7	85991.4	
-6.6	85991.4	
-6.5	86209.8	
-6.4	85115	
-6.3	87260.9	
-6.2	85577.9	
-6.1	87227.4	
-6	87369.5	
-5.9	93979.8	
-5.8	83099.6	
-5.7	83099.6	
-5.6	86614.3	
-5.5	85440.6	
-5.4	93632.4	
-5.3	81577.8	
-5.2	87349.9	
-5.1	87516.4	
-5	87993.1	
-4.9	89750.7	
-4.8	87590.3	
-4.7	87590.3	
-4.6	86506.3	
-4.5	84643.2	
-4.4	87043.6	
-4.3	86157.5	
-4.2	86114.5	
-4.1	86108.5	
-4	84192.3	
-3.9	87334.8	
-3.8	87334.8	
-3.7	86019.5	
-3.6	87812.8	
-3.5	84761.9	
-3.4	85496.9	
-3.3	86450.2	
-3.2	86125.4	
-3.1	86734.1	
-3	87544.4	
-2.9	87704.7	
-2.8	87704.7	
-2.7	86827.8	
-2.6	86178.8	
-2.5	85537.8	
-2.4	87026.4	
-2.3	86092.7	
-2.2	86942.6	
-2.1	86205.1	
-2	87309.3	
-1.9	85552.4	
-1.8	86200.8	
-1.7	86200.8	
-1.6	86937.6	
-1.5	85928.4	
-1.4	84441.1	
-1.3	85197.3	
-1.2	87045.2	
-1.1	86787.9	
-1	86679.5	
-0.9	85985.4	
-0.8	85403.7	
-0.7	85403.7	
-0.6	86653	
-0.5	86683.6	
-0.4	86926.7	
-0.3	85775.1	
-0.2	86459.3	
-0.1	87313.1	
0	85286.7	
0.1	86765.5	
0.2	85269.5	
0.3	87384.2	
0.4	87384.2	
0.5	84879.7	
0.6	85129.2	
0.7	88107.1	
0.8	83945.4	
0.9	86623.5	
1	86891.5	
1.1	85036.9	
1.2	86423.5	
1.3	87455.1	
1.4	87455.1	
1.5	84938.5	
1.6	86384	
1.7	83313.6	
1.8	84843.2	
1.9	84978.3	
2	87484.1	
2.1	87467.6	
2.2	86718.1	
2.3	85508.8	
2.4	85508.8	
2.5	86230	
2.6	85737.4	
2.7	88111.2	
2.8	86009.4	
2.9	85989.1	
3	86769.7	
3.1	87467.6	
3.2	86368.3	
3.3	86146.7	
3.4	86146.7	
3.5	86514.5	
3.6	86711.7	
3.7	86293.6	
3.8	85448.5	
3.9	85972.5	
4	88501.8	
4.1	88032.5	
4.2	86702.4	
4.3	87460.6	
4.4	87666.4	
4.5	87803.9	
4.6	87803.9	
4.7	86170.8	
4.8	87798.4	
4.9	86478.9	
5	86584.4	
5.1	87616.5	
5.2	86053.1	
5.3	93927.7	
5.4	79558.1	
5.5	88963.3	
5.6	88963.3	
5.7	87112.1	
5.8	87272.4	
5.9	86372	
6	87208.7	
6.1	85701	
6.2	87289	
6.3	85972.9	
6.4	86787.2	
6.5	87099.1	
6.6	87099.1	
6.7	87839.2	
6.8	87529.7	
6.9	87996.8	
7	86705.2	
7.1	86890.2	
7.2	87390.3	
7.3	87530.7	
7.4	85887	
7.5	86721.9	
7.6	86721.9	
7.7	85904.3	
7.8	89709.8	
7.9	85412.1	
8	88566.3	
8.1	86764.5	
8.2	87206	
8.3	87896.6	
8.4	87657	
8.5	87657	
8.6	86781.1	
8.7	86886	
