V - Plot 0	PL - Plot 0	
-20	83389.2	
-19.9	84397.7	
-19.8	82116.1	
-19.7	81018.7	
-19.6	85175.9	
-19.5	85175.9	
-19.4	83112.6	
-19.3	82080.3	
-19.2	82643.7	
-19.1	81872.3	
-19	82936.2	
-18.9	83061	
-18.8	83161.4	
-18.7	83105.5	
-18.6	81385.2	
-18.5	81385.2	
-18.4	82414.1	
-18.3	81637.6	
-18.2	84540	
-18.1	81549	
-18	81985.3	
-17.9	81199.4	
-17.8	80280.9	
-17.7	82753	
-17.6	81573.2	
-17.5	81157.7	
-17.4	80879.3	
-17.3	80879.3	
-17.2	81643.6	
-17.1	82261.5	
-17	81168.5	
-16.9	80152.8	
-16.8	79811.8	
-16.7	79629.9	
-16.6	78884.8	
-16.5	80083.3	
-16.4	78749.3	
-16.3	80425.6	
-16.2	80528.7	
-16.1	80528.7	
-16	81580.6	
-15.9	80738	
-15.8	81104.6	
-15.7	82399.8	
-15.6	81287	
-15.5	81218.1	
-15.4	81218.1	
-15.3	81197.3	
-15.2	81255.9	
-15.1	81850.3	
-15	80145.8	
-14.9	78376.9	
-14.8	80156.5	
-14.7	80014.6	
-14.6	80184	
-14.5	81229.3	
-14.4	79362.4	
-14.3	79362.4	
-14.2	80299.2	
-14.1	78714.4	
-14	78569.9	
-13.9	78845.7	
-13.8	78578.2	
-13.7	78988.9	
-13.6	79040.9	
-13.5	80357.7	
-13.4	81171.4	
-13.3	81171.4	
-13.2	79461.6	
-13.1	78847.9	
-13	79205.7	
-12.9	79615.7	
-12.8	79380.2	
-12.7	78497.6	
-12.6	80043.4	
-12.5	77188.9	
-12.4	76793.6	
-12.3	78788.8	
-12.2	79223.3	
-12.1	79223.3	
-12	77711.4	
-11.9	78908.9	
-11.8	80179.1	
-11.7	80051.4	
-11.6	78888.3	
-11.5	81330	
-11.4	81415.4	
-11.3	79496.7	
-11.2	79496.7	
-11.1	82349.2	
-11	80252.4	
-10.9	82029.6	
-10.8	82257.6	
-10.7	80231.7	
-10.6	81135.1	
-10.5	81289.7	
-10.4	81000.4	
-10.3	83616.6	
-10.2	81356.1	
-10.1	81356.1	
-10	81073.5	
-9.9	79810.2	
-9.8	81596	
-9.7	81586.7	
-9.6	80558.1	
-9.5	81744.4	
-9.4	80402.8	
-9.3	81956.2	
-9.2	81958.1	
-9.1	81881.2	
-9	80791.3	
-8.9	80791.3	
-8.8	80851.1	
-8.7	82289.3	
-8.6	80363.3	
-8.5	81768.1	
-8.4	80263.9	
-8.3	80799.8	
-8.2	80831.3	
-8.1	81339.2	
-8	81339.2	
-7.9	82677.6	
-7.8	80435.5	
-7.7	80131.8	
-7.6	80596.1	
-7.5	81815.3	
-7.4	81652.8	
-7.3	82293.7	
-7.2	81855.8	
-7.1	81474.4	
-7	82842.9	
-6.9	82842.9	
-6.8	80961.6	
-6.7	81610.9	
-6.6	80934.8	
-6.5	81068	
-6.4	82775	
-6.3	82775	
-6.2	82571.4	
-6.1	80940.4	
-6	81026.2	
-5.9	79478.9	
-5.8	80964	
-5.7	82529.6	
-5.6	81975.2	
-5.5	80538.9	
-5.4	79879.5	
-5.3	81172	
-5.2	81615.5	
-5.1	80028.2	
-5	80028.2	
-4.9	80931.7	
-4.8	78296.7	
-4.7	80758.3	
-4.6	81855	
-4.5	80515	
-4.4	81618.3	
-4.3	81282.3	
-4.2	80868.4	
-4.1	80628.1	
-4	80628.1	
-3.9	79763.9	
-3.8	81594.7	
-3.7	81294.8	
-3.6	82726.2	
-3.5	82673	
-3.4	81137.7	
-3.3	81137.7	
-3.2	83333.3	
-3.1	84390.8	
-3	77634.3	
-2.9	81743.2	
-2.8	81107.5	
-2.7	81357.6	
-2.6	82222.1	
-2.5	81777.9	
-2.4	82120.6	
-2.3	82147.3	
-2.2	82147.3	
-2.1	82629.4	
-2	82701	
-1.9	82005.5	
-1.8	80960.1	
-1.7	80870.7	
-1.6	82371.1	
-1.5	82370.5	
-1.4	80961.6	
-1.3	80961.6	
-1.2	78578	
-1.1	80932.2	
