V - Plot 0	PL - Plot 0	
-20	81671.6	
-19.9	79094.8	
-19.8	79094.8	
-19.7	79663.9	
-19.6	80138.6	
-19.5	78848.9	
-19.4	80057.9	
-19.3	78839.5	
-19.2	78809.5	
-19.1	79406.5	
-19	78568.8	
-18.9	78436.6	
-18.8	79059.4	
-18.7	77953.6	
-18.6	78003.7	
-18.5	78003.7	
-18.4	77416	
-18.3	76730.1	
-18.2	79109.4	
-18.1	76445	
-18	77309.5	
-17.9	76717.5	
-17.8	77342.6	
-17.7	77493.8	
-17.6	78410.2	
-17.5	78410.2	
-17.4	75181.1	
-17.3	75709.3	
-17.2	76283	
-17.1	77777.8	
-17	76461.2	
-16.9	75181.1	
-16.8	76716.3	
-16.7	75002.6	
-16.6	75657	
-16.5	77886	
-16.4	76123	
-16.3	76123	
-16.2	75298.5	
-16.1	78253.1	
-16	74265	
-15.9	74239.6	
-15.8	74177.2	
-15.7	76224.5	
-15.6	75304.8	
-15.5	73269.2	
-15.4	73269.2	
-15.3	75137.5	
-15.2	75757.6	
-15.1	75538.8	
-15	75325.9	
-14.9	76079.5	
-14.8	74193.8	
-14.7	74193.8	
-14.6	75088.6	
-14.5	76052.3	
-14.4	74908.4	
-14.3	73274.7	
-14.2	74978.5	
-14.1	73385.1	
-14	73968.8	
-13.9	73750.9	
-13.8	73449.6	
-13.7	73932.5	
-13.6	75155.4	
-13.5	73201.1	
-13.4	72757.9	
-13.3	72757.9	
-13.2	73476.3	
-13.1	73985.4	
-13	73768.1	
-12.9	74843.8	
-12.8	72842.4	
-12.7	74018.5	
-12.6	72864.2	
-12.5	72690.3	
-12.4	72690.3	
-12.3	71899.5	
-12.2	74865.5	
-12.1	73647.2	
-12	71997.9	
-11.9	72057.7	
-11.8	71697.7	
-11.7	72018.1	
-11.6	72361.4	
-11.5	71966	
-11.4	71966	
-11.3	71939.5	
-11.2	71408.5	
-11.1	69166.3	
-11	71709	
-10.9	71151.8	
-10.8	69867.1	
-10.7	68498.5	
-10.6	68754	
-10.5	70905.4	
-10.4	70292.5	
-10.3	70068.9	
-10.2	70068.9	
-10.1	68755.4	
-10	71263.6	
-9.9	70033.7	
-9.8	71251.3	
-9.7	68957.8	
-9.6	70291.3	
-9.5	69274	
-9.4	69259.4	
-9.3	69713.3	
-9.2	69224.6	
-9.1	68964.9	
-9	68964.9	
-8.9	69003.4	
-8.8	68597.2	
-8.7	67600.2	
-8.6	67864.3	
-8.5	67862.6	
-8.4	66803.7	
-8.3	68109.8	
-8.2	68109.8	
-8.1	69247.5	
-8	68402	
-7.9	70142.3	
-7.8	69256.7	
-7.7	71295.3	
-7.6	68086.3	
-7.5	70473.6	
-7.4	68837.6	
-7.3	70566.6	
-7.2	70566.6	
-7.1	71062.9	
-7	70186.6	
-6.9	70232.3	
-6.8	71288	
-6.7	70457.2	
-6.6	69377.5	
-6.5	69618	
-6.4	70702	
-6.3	68868.6	
-6.2	68868.6	
-6.1	70935.6	
-6	69839.1	
-5.9	69272.8	
-5.8	69760.5	
-5.7	70476.8	
-5.6	70315.2	
-5.5	68865	
-5.4	73193.1	
-5.3	60384	
-5.2	60384	
-5.1	71356.4	
-5	59597	
-4.9	67185.3	
-4.8	65761.2	
-4.7	64518.8	
-4.6	67732.6	
-4.5	70628.8	
-4.4	70289.2	
-4.3	70888.3	
-4.2	70888.3	
-4.1	69690.1	
-4	72257.6	
-3.9	72037.9	
-3.8	72097.8	
-3.7	71301.9	
-3.6	69548.2	
-3.5	72289.3	
-3.4	71514.9	
-3.3	71388.5	
-3.2	71388.5	
-3.1	70771	
-3	69906	
-2.9	70235	
-2.8	70474.8	
-2.7	69801.8	
-2.6	71091.4	
-2.5	67394.1	
-2.4	70478.1	
-2.3	70478.1	
-2.2	69805.4	
-2.1	71571.4	
-2	69237.5	
-1.9	70634	
-1.8	69993.4	
-1.7	70155.9	
-1.6	71062.5	
-1.5	70735.7	
-1.4	67645.3	
-1.3	69944.6	
-1.2	69944.6	
-1.1	69292.6	
-1	69756.8	
-0.9	69892.5	
-0.8	69433.8	
-0.7	71364.4	
-0.6	71143.4	
-0.5	71035.8	
-0.4	69989.4	
-0.3	69989.4	
