V - Plot 0	PL - Plot 0	
-20	395677	
-19.8	391837	
-19.6	398487	
-19.4	393052	
-19.2	396301	
-19	394886	
-18.8	395803	
-18.6	393837	
-18.4	394596	
-18.2	393984	
-18	395213	
-17.8	394366	
-17.6	393805	
-17.4	410335	
-17.2	379460	
-17	393500	
-16.8	393637	
-16.6	395609	
-16.4	395242	
-16.2	394216	
-16	390197	
-15.8	393394	
-15.6	393712	
-15.4	393907	
-15.2	394537	
-15	393499	
-14.8	392721	
-14.6	393998	
-14.4	394570	
-14.2	394668	
-14	397941	
-13.8	396181	
-13.6	394867	
-13.4	395060	
-13.2	392693	
-13	394263	
-12.8	397897	
-12.6	384925	
-12.4	390975	
-12.2	394069	
-12	394827	
-11.8	392929	
-11.6	394835	
-11.4	394355	
-11.2	389208	
-11	389626	
-10.8	391519	
-10.6	393230	
-10.4	393515	
-10.2	391123	
-10	390097	
-9.8	392155	
-9.6	395236	
-9.4	393874	
-9.2	388438	
-9	393214	
-8.8	392514	
-8.6	389433	
-8.4	391349	
-8.2	391435	
-8	390213	
-7.8	392524	
-7.6	387476	
-7.4	393325	
-7.2	392288	
-7	393086	
-6.8	392634	
-6.6	392347	
-6.4	391748	
-6.2	391620	
-6	391912	
-5.8	392893	
-5.6	391815	
-5.4	392666	
-5.2	394938	
-5	393072	
-4.8	394859	
-4.6	391528	
-4.4	393158	
-4.2	390818	
-4	392535	
-3.8	394329	
-3.6	393406	
-3.4	390395	
-3.2	390536	
-3	388922	
-2.8	391567	
-2.6	392441	
-2.4	396078	
-2.2	397987	
-2	395458	
-1.8	397991	
-1.6	399659	
-1.4	399062	
-1.2	401773	
-1	402257	
-0.8	402538	
-0.6	404433	
-0.4	403012	
-0.2	403850	
0	405663	
0.2	405936	
0.4	405161	
0.6	406141	
0.8	406091	
1	405452	
1.2	404920	
1.4	405090	
1.6	401179	
1.8	401540	
2	403150	
2.2	401044	
2.4	397706	
2.6	395689	
2.8	395835	
3	392917	
3.2	394887	
3.4	394775	
3.6	396405	
3.8	388916	
4	391261	
4.2	398349	
4.4	390849	
4.6	393339	
4.8	390407	
5	391707	
5.2	393222	
5.4	392611	
5.6	393809	
5.8	394770	
6	394005	
6.2	391482	
6.4	396018	
6.6	394755	
6.8	394174	
7	392328	
7.2	391700	
7.4	389665	
7.6	390985	
7.8	390708	
8	390301	
8.2	390604	
8.4	389449	
8.6	389227	
8.8	388661	
9	388924	
9.2	388036	
9.4	388917	
9.6	390152	
9.8	388267	
10	390239	
10.2	384829	
10.4	389972	
10.6	391607	
10.8	392922	
11	388990	
11.2	387801	
11.4	389770	
11.6	392694	
11.8	391282	
12	395148	
12.2	388722	
12.4	390085	
12.6	389064	
12.8	388754	
13	391218	
13.2	389578	
13.4	391158	
13.6	389290	
13.8	390783	
14	392565	
14.2	390428	
14.4	392673	
14.6	392664	
14.8	391935	
15	391083	
15.2	393504	
15.4	395429	
15.6	393220	
15.8	388842	
16	391600	
16.2	388565	
16.4	396732	
16.6	381855	
16.8	390955	
17	389800	
17.2	390244	
17.4	389375	
17.6	389800	
17.8	389466	
18	389786	
18.2	389807	
18.4	390786	
18.6	391550	
18.8	387350	
19	390620	
19.2	387903	
19.4	391109	
19.6	389508	
19.8	390955	
20	390165	
