V - Plot 0	PL - Plot 0	
-20	363284	
-19.8	364212	
-19.6	366832	
-19.4	368141	
-19.2	368002	
-19	368282	
-18.8	367492	
-18.6	366774	
-18.4	366621	
-18.2	365976	
-18	365001	
-17.8	364912	
-17.6	363149	
-17.4	362080	
-17.2	361588	
-17	364820	
-16.8	363446	
-16.6	362935	
-16.4	362592	
-16.2	360825	
-16	359819	
-15.8	361901	
-15.6	363004	
-15.4	362810	
-15.2	363200	
-15	363229	
-14.8	364470	
-14.6	362709	
-14.4	363105	
-14.2	364295	
-14	362598	
-13.8	363420	
-13.6	363271	
-13.4	363785	
-13.2	364377	
-13	362767	
-12.8	364465	
-12.6	364257	
-12.4	364812	
-12.2	363246	
-12	365649	
-11.8	364921	
-11.6	365560	
-11.4	366685	
-11.2	367086	
-11	366410	
-10.8	365918	
-10.6	367644	
-10.4	367370	
-10.2	364992	
-10	364237	
-9.8	363492	
-9.6	365221	
-9.4	366363	
-9.2	368486	
-9	368567	
-8.8	368602	
-8.6	367723	
-8.4	365409	
-8.2	366613	
-8	366543	
-7.8	368015	
-7.6	366402	
-7.4	366688	
-7.2	367262	
-7	367220	
-6.8	367354	
-6.6	366301	
-6.4	364807	
-6.2	365130	
-6	363680	
-5.8	363339	
-5.6	361880	
-5.4	361802	
-5.2	361561	
-5	361742	
-4.8	362190	
-4.6	363377	
-4.4	363015	
-4.2	367717	
-4	380068	
-3.8	384422	
-3.6	387124	
-3.4	388601	
-3.2	388580	
-3	389525	
-2.8	389128	
-2.6	391308	
-2.4	393008	
-2.2	392088	
-2	391668	
-1.8	391383	
-1.6	389929	
-1.4	390558	
-1.2	390188	
-1	390479	
-0.8	390365	
-0.6	389958	
-0.4	389545	
-0.2	389252	
0	391572	
0.2	391886	
0.4	391071	
0.6	392320	
0.8	390687	
1	393167	
1.2	391424	
1.4	390908	
1.6	391811	
1.8	390613	
2	389921	
2.2	390234	
2.4	389287	
2.6	388220	
2.8	388331	
3	387784	
3.2	386259	
3.4	385180	
3.6	383711	
3.8	379914	
4	371171	
4.2	361349	
4.4	361131	
4.6	359912	
4.8	360142	
5	360130	
5.2	360815	
5.4	361424	
5.6	362906	
5.8	362011	
6	363598	
6.2	362746	
6.4	362358	
6.6	362716	
6.8	364405	
7	363441	
7.2	363443	
7.4	362960	
7.6	362149	
7.8	361036	
8	361793	
8.2	362185	
8.4	362730	
8.6	361577	
8.8	363561	
9	363227	
9.2	364418	
9.4	363023	
9.6	362062	
9.8	361664	
10	362437	
10.2	362156	
10.4	365844	
10.6	361233	
10.8	364135	
11	364860	
11.2	364017	
11.4	363830	
11.6	364092	
11.8	364815	
12	362536	
12.2	361626	
12.4	364898	
12.6	364580	
12.8	363453	
13	361768	
13.2	361581	
13.4	361688	
13.6	362627	
13.8	363744	
14	362254	
14.2	363751	
14.4	363311	
14.6	362256	
14.8	362951	
15	363800	
15.2	364453	
15.4	362912	
15.6	363021	
15.8	363542	
16	364338	
16.2	363210	
16.4	362480	
16.6	362670	
16.8	365396	
17	365172	
17.2	366980	
17.4	365967	
17.6	367234	
17.8	365952	
18	366403	
18.2	364853	
18.4	364727	
18.6	365252	
18.8	365729	
19	365713	
19.2	364711	
19.4	364832	
19.6	364524	
19.8	363865	
20	364831	
