Freqency (MHz) - Plot 0	PL - Plot 0	
2820.000	369843	
2821.000	364854	
2822.000	369433	
2823.000	364917	
2824.000	365665	
2825.000	365950	
2826.000	366629	
2827.000	364943	
2828.000	366359	
2829.000	361777	
2830.000	366973	
2831.000	364648	
2832.000	365582	
2833.000	364789	
2834.000	364937	
2835.000	363822	
2836.000	365135	
2837.000	366171	
2838.000	365623	
2839.000	365936	
2840.000	368687	
2841.000	360109	
2842.000	364024	
2843.000	363031	
2844.000	363439	
2845.000	358777	
2846.000	363822	
2847.000	363536	
2848.000	362335	
2849.000	360921	
2850.000	362603	
2851.000	362914	
2852.000	360511	
2853.000	361190	
2854.000	361841	
2855.000	361490	
2856.000	359727	
2857.000	358593	
2858.000	359316	
2859.000	356431	
2860.000	357691	
2861.000	358758	
2862.000	364824	
2863.000	355826	
2864.000	353300	
2865.000	357473	
2866.000	355494	
2867.000	359942	
2868.000	351627	
2869.000	357195	
2870.000	353247	
2871.000	353399	
2872.000	353543	
2873.000	357730	
2874.000	351432	
2875.000	355007	
2876.000	359161	
2877.000	353108	
2878.000	357526	
2879.000	358577	
2880.000	355182	
2881.000	357411	
2882.000	359205	
2883.000	372257	
2884.000	349384	
2885.000	360286	
2886.000	360112	
2887.000	359529	
2888.000	359016	
2889.000	359890	
2890.000	361589	
2891.000	360888	
2892.000	361797	
2893.000	365887	
2894.000	355097	
2895.000	361560	
2896.000	361454	
2897.000	361186	
2898.000	364322	
2899.000	358892	
2900.000	362136	
2901.000	363111	
2902.000	364092	
2903.000	363669	
2904.000	363207	
2905.000	364841	
2906.000	363672	
2907.000	366376	
2908.000	366991	
2909.000	363524	
2910.000	365155	
2911.000	363718	
2912.000	363405	
2913.000	366262	
2914.000	363092	
2915.000	364670	
2916.000	367891	
2917.000	361581	
2918.000	364349	
2919.000	362099	
2920.000	362330	
