V - Plot 0	PL - Plot 0	
-20	193053	
-19.8	193512	
-19.6	192600	
-19.4	193488	
-19.2	193068	
-19	193205	
-18.8	191618	
-18.6	192982	
-18.4	191714	
-18.2	193421	
-18	192876	
-17.8	193324	
-17.6	191536	
-17.4	194473	
-17.2	192710	
-17	191125	
-16.8	194620	
-16.6	192973	
-16.4	193825	
-16.2	194950	
-16	193440	
-15.8	193011	
-15.6	193753	
-15.4	192406	
-15.2	192004	
-15	193241	
-14.8	194776	
-14.6	191627	
-14.4	197398	
-14.2	189355	
-14	194039	
-13.8	193085	
-13.6	191913	
-13.4	192668	
-13.2	191013	
-13	192372	
-12.8	192986	
-12.6	193583	
-12.4	194140	
-12.2	189669	
-12	200835	
-11.8	195133	
-11.6	194235	
-11.4	194326	
-11.2	194601	
-11	194667	
-10.8	195798	
-10.6	192630	
-10.4	195395	
-10.2	193523	
-10	192912	
-9.8	192576	
-9.6	193706	
-9.4	193261	
-9.2	193373	
-9	194048	
-8.8	192765	
-8.6	193739	
-8.4	192355	
-8.2	191736	
-8	190613	
-7.8	190713	
-7.6	189922	
-7.4	190001	
-7.2	189943	
-7	190569	
-6.8	188494	
-6.6	189765	
-6.4	188192	
-6.2	188339	
-6	187145	
-5.8	186538	
-5.6	186123	
-5.4	185562	
-5.2	186863	
-5	186954	
-4.8	187923	
-4.6	186886	
-4.4	188246	
-4.2	189577	
-4	190590	
-3.8	188751	
-3.6	187989	
-3.4	189688	
-3.2	186408	
-3	186883	
-2.8	186767	
-2.6	187495	
-2.4	186373	
-2.2	187174	
-2	188264	
-1.8	186672	
-1.6	188548	
-1.4	186881	
-1.2	187583	
-1	186650	
-0.8	187542	
-0.6	187067	
-0.4	186612	
-0.2	186143	
0	186956	
0.2	186328	
0.4	186670	
0.6	186898	
0.8	186138	
1	185789	
1.2	186139	
1.4	186464	
1.6	187143	
1.8	187809	
2	189903	
2.2	185877	
2.4	187758	
2.6	187123	
2.8	186591	
3	186600	
3.2	190654	
3.4	183864	
3.6	186304	
3.8	184635	
4	187952	
4.2	185863	
4.4	187867	
4.6	188792	
4.8	189157	
5	189021	
5.2	187442	
5.4	188580	
5.6	191388	
5.8	184017	
6	187801	
6.2	186392	
6.4	185724	
6.6	186402	
6.8	186760	
7	185495	
7.2	186713	
7.4	185427	
7.6	187079	
7.8	185902	
8	187086	
8.2	187054	
8.4	186699	
8.6	187851	
8.8	188464	
9	189165	
9.2	189494	
9.4	188594	
9.6	189251	
9.8	190556	
10	190045	
10.2	189676	
10.4	190516	
10.6	190663	
10.8	195166	
11	188040	
11.2	193645	
11.4	188846	
11.6	192583	
11.8	192524	
12	188580	
12.2	192495	
12.4	187477	
12.6	189896	
12.8	191626	
13	193090	
13.2	190610	
13.4	192349	
13.6	192116	
13.8	192215	
14	191525	
14.2	191955	
14.4	194806	
14.6	189610	
14.8	191040	
15	191600	
15.2	191373	
15.4	191075	
15.6	191456	
15.8	191863	
16	191968	
16.2	191692	
16.4	194164	
16.6	192490	
16.8	192299	
17	192474	
17.2	191538	
17.4	192211	
17.6	192131	
17.8	191688	
18	191867	
18.2	193675	
18.4	193865	
18.6	194183	
18.8	193237	
19	193165	
19.2	192423	
19.4	193632	
19.6	193470	
19.8	192900	
20	192652	
