V - Plot 0	PL - Plot 0	
-20	417353	
-19.8	415712	
-19.6	416342	
-19.4	417243	
-19.2	415093	
-19	415579	
-18.8	417876	
-18.6	418429	
-18.4	416329	
-18.2	419887	
-18	417807	
-17.8	413141	
-17.6	414137	
-17.4	416018	
-17.2	415422	
-17	413915	
-16.8	415855	
-16.6	413756	
-16.4	416940	
-16.2	415560	
-16	416766	
-15.8	414340	
-15.6	415843	
-15.4	416814	
-15.2	415693	
-15	415004	
-14.8	414886	
-14.6	413737	
-14.4	415810	
-14.2	417924	
-14	414612	
-13.8	417069	
-13.6	416354	
-13.4	417498	
-13.2	417480	
-13	415929	
-12.8	414541	
-12.6	416255	
-12.4	415688	
-12.2	415857	
-12	416374	
-11.8	415570	
-11.6	415985	
-11.4	413697	
-11.2	412643	
-11	412805	
-10.8	412898	
-10.6	412966	
-10.4	417509	
-10.2	407418	
-10	412543	
-9.8	412559	
-9.6	402115	
-9.4	423516	
-9.2	414339	
-9	411967	
-8.8	412372	
-8.6	411144	
-8.4	410772	
-8.2	409773	
-8	411356	
-7.8	414202	
-7.6	409756	
-7.4	410140	
-7.2	411794	
-7	410338	
-6.8	410781	
-6.6	408887	
-6.4	408792	
-6.2	408081	
-6	410523	
-5.8	416024	
-5.6	400512	
-5.4	409056	
-5.2	408542	
-5	409448	
-4.8	409497	
-4.6	410510	
-4.4	410622	
-4.2	409270	
-4	410843	
-3.8	409062	
-3.6	410336	
-3.4	411585	
-3.2	403662	
-3	409288	
-2.8	404541	
-2.6	409805	
-2.4	407560	
-2.2	408744	
-2	409924	
-1.8	409235	
-1.6	407039	
-1.4	407249	
-1.2	405932	
-1	407030	
-0.8	406287	
-0.6	409332	
-0.4	407474	
-0.2	407822	
0	406883	
0.2	408381	
0.4	407270	
0.6	406021	
0.8	407824	
1	409706	
1.2	410113	
1.4	408411	
1.6	408796	
1.8	409460	
2	410292	
2.2	409242	
2.4	406851	
2.6	407375	
2.8	408436	
3	407557	
3.2	410205	
3.4	410426	
3.6	407223	
3.8	403738	
4	415264	
4.2	411072	
4.4	407901	
4.6	408160	
4.8	407804	
5	409212	
5.2	411187	
5.4	407609	
5.6	407640	
5.8	409238	
6	411576	
6.2	410004	
6.4	412615	
6.6	423077	
6.8	400900	
7	409213	
7.2	411040	
7.4	409400	
7.6	411796	
7.8	409523	
8	409535	
8.2	410184	
8.4	411639	
8.6	409137	
8.8	411788	
9	409127	
9.2	411089	
9.4	412387	
9.6	411610	
9.8	410788	
10	413513	
10.2	411717	
10.4	413417	
10.6	413496	
10.8	411065	
11	412671	
11.2	413710	
11.4	412694	
11.6	413018	
11.8	413378	
12	413353	
12.2	411460	
12.4	413307	
12.6	413196	
12.8	413046	
13	412830	
13.2	415699	
13.4	410019	
13.6	412322	
13.8	412600	
14	413350	
14.2	410818	
14.4	414208	
14.6	413347	
14.8	413679	
15	413302	
15.2	412021	
15.4	414382	
15.6	416435	
15.8	413412	
16	414696	
16.2	415592	
16.4	413527	
16.6	415997	
16.8	415631	
17	415171	
17.2	417275	
17.4	412379	
17.6	416922	
17.8	412364	
18	414304	
18.2	414308	
18.4	415440	
18.6	416315	
18.8	416120	
19	416799	
19.2	418064	
19.4	418721	
19.6	414581	
19.8	417312	
20	415031	
