V - Plot 0	PL - Plot 0	
-20	216019	
-19.8	218119	
-19.6	217524	
-19.4	220099	
-19.2	212720	
-19	216681	
-18.8	216349	
-18.6	216352	
-18.4	215565	
-18.2	215049	
-18	216758	
-17.8	218384	
-17.6	220451	
-17.4	217417	
-17.2	216986	
-17	215910	
-16.8	216800	
-16.6	216333	
-16.4	217000	
-16.2	218356	
-16	219041	
-15.8	220323	
-15.6	221772	
-15.4	213307	
-15.2	215073	
-15	214511	
-14.8	217294	
-14.6	219574	
-14.4	218411	
-14.2	218886	
-14	220140	
-13.8	219021	
-13.6	217984	
-13.4	217399	
-13.2	217618	
-13	219353	
-12.8	215362	
-12.6	218392	
-12.4	216775	
-12.2	220015	
-12	219722	
-11.8	216252	
-11.6	212597	
-11.4	213167	
-11.2	215268	
-11	215250	
-10.8	214800	
-10.6	215762	
-10.4	217440	
-10.2	218111	
-10	219939	
-9.8	218010	
-9.6	218577	
-9.4	217115	
-9.2	218147	
-9	216180	
-8.8	217808	
-8.6	217838	
-8.4	219223	
-8.2	219188	
-8	219286	
-7.8	219331	
-7.6	218846	
-7.4	220403	
-7.2	220033	
-7	219433	
-6.8	215749	
-6.6	218373	
-6.4	217592	
-6.2	216803	
-6	216770	
-5.8	214605	
-5.6	216194	
-5.4	218947	
-5.2	215590	
-5	214464	
-4.8	217195	
-4.6	216665	
-4.4	215866	
-4.2	216631	
-4	222364	
-3.8	212936	
-3.6	217058	
-3.4	217852	
-3.2	217797	
-3	217278	
-2.8	217344	
-2.6	219186	
-2.4	218724	
-2.2	218251	
-2	217470	
-1.8	215073	
-1.6	217430	
-1.4	220365	
-1.2	218030	
-1	218741	
-0.8	218723	
-0.6	218333	
-0.4	218966	
-0.2	216270	
0	218907	
0.2	221271	
0.4	222841	
0.6	218841	
0.8	219004	
1	221287	
1.2	215964	
1.4	217159	
1.6	216790	
1.8	217520	
2	220410	
2.2	220137	
2.4	218323	
2.6	220446	
2.8	214477	
3	213924	
3.2	214925	
3.4	213170	
3.6	216178	
3.8	214263	
4	215755	
4.2	214056	
4.4	218012	
4.6	216726	
4.8	219734	
5	219712	
5.2	219467	
5.4	219853	
5.6	220370	
5.8	222557	
6	220470	
6.2	219539	
6.4	218589	
6.6	219232	
6.8	218821	
7	217254	
7.2	218643	
7.4	218954	
7.6	215870	
7.8	217319	
8	217635	
8.2	216820	
8.4	215231	
8.6	214373	
8.8	216074	
9	217251	
9.2	211550	
9.4	216654	
9.6	212418	
9.8	214649	
10	211550	
10.2	211873	
10.4	215013	
10.6	212112	
10.8	211251	
11	211512	
11.2	215226	
11.4	213989	
11.6	215980	
11.8	214391	
12	215146	
12.2	214333	
12.4	215386	
12.6	214785	
12.8	216303	
13	216335	
13.2	218694	
13.4	216113	
13.6	214482	
13.8	212870	
14	212482	
14.2	212059	
14.4	210346	
14.6	210995	
14.8	211749	
15	212005	
15.2	211688	
15.4	211228	
15.6	213739	
15.8	214324	
16	211894	
16.2	214762	
16.4	212478	
16.6	214369	
16.8	214545	
17	215943	
17.2	213573	
17.4	214575	
17.6	213112	
17.8	214644	
18	217046	
18.2	216612	
18.4	217685	
18.6	214920	
18.8	216629	
19	216768	
19.2	218100	
19.4	215969	
19.6	214675	
19.8	214910	
20	216691	
