V - Plot 0	PL - Plot 0	
-20	222416	
-19.8	221214	
-19.6	219920	
-19.4	220540	
-19.2	220658	
-19	219271	
-18.8	220903	
-18.6	222162	
-18.4	221778	
-18.2	222207	
-18	221041	
-17.8	221163	
-17.6	220866	
-17.4	221710	
-17.2	221268	
-17	222740	
-16.8	222352	
-16.6	223151	
-16.4	221266	
-16.2	221089	
-16	218524	
-15.8	218903	
-15.6	218699	
-15.4	221646	
-15.2	216944	
-15	220150	
-14.8	220800	
-14.6	220721	
-14.4	220515	
-14.2	218447	
-14	218705	
-13.8	217547	
-13.6	218764	
-13.4	220786	
-13.2	216007	
-13	215228	
-12.8	214551	
-12.6	214582	
-12.4	216555	
-12.2	217049	
-12	216868	
-11.8	215431	
-11.6	213243	
-11.4	215420	
-11.2	217847	
-11	217356	
-10.8	217823	
-10.6	220350	
-10.4	219274	
-10.2	217828	
-10	217637	
-9.8	218235	
-9.6	218180	
-9.4	218215	
-9.2	218568	
-9	216448	
-8.8	215627	
-8.6	217177	
-8.4	216308	
-8.2	214383	
-8	213837	
-7.8	212748	
-7.6	212896	
-7.4	211192	
-7.2	212517	
-7	209815	
-6.8	212186	
-6.6	208680	
-6.4	208034	
-6.2	207148	
-6	207204	
-5.8	209245	
-5.6	208450	
-5.4	206404	
-5.2	205316	
-5	207115	
-4.8	207592	
-4.6	207711	
-4.4	203039	
-4.2	214630	
-4	208915	
-3.8	208253	
-3.6	210266	
-3.4	208577	
-3.2	205987	
-3	205218	
-2.8	205852	
-2.6	207616	
-2.4	208342	
-2.2	208722	
-2	208083	
-1.8	207623	
-1.6	209591	
-1.4	209810	
-1.2	209039	
-1	209179	
-0.8	209071	
-0.6	209007	
-0.4	208791	
-0.2	207177	
0	208640	
0.2	207921	
0.4	208710	
0.6	207540	
0.8	209006	
1	210011	
1.2	210560	
1.4	208370	
1.6	207950	
1.8	208249	
2	207503	
2.2	207151	
2.4	207952	
2.6	207975	
2.8	208598	
3	210725	
3.2	211468	
3.4	210521	
3.6	210271	
3.8	209822	
4	211267	
4.2	209020	
4.4	210004	
4.6	210886	
4.8	209743	
5	210611	
5.2	210547	
5.4	211891	
5.6	213066	
5.8	212220	
6	212277	
6.2	212731	
6.4	213703	
6.6	212494	
6.8	213434	
7	211316	
7.2	211879	
7.4	211907	
7.6	208781	
7.8	208946	
8	210606	
8.2	212185	
8.4	211194	
8.6	213029	
8.8	213307	
9	214102	
9.2	212395	
9.4	211323	
9.6	210471	
9.8	208953	
10	206122	
10.2	205942	
10.4	205940	
10.6	204638	
10.8	205306	
11	205099	
11.2	204454	
11.4	205962	
11.6	205070	
11.8	204953	
12	205464	
12.2	204313	
12.4	202773	
12.6	204132	
12.8	203458	
13	203959	
13.2	203591	
13.4	202966	
13.6	202634	
13.8	203081	
14	203288	
14.2	205523	
14.4	206183	
14.6	206384	
14.8	204437	
15	203238	
15.2	204247	
15.4	206226	
15.6	205222	
15.8	204600	
16	203783	
16.2	205872	
16.4	203959	
16.6	205749	
16.8	205815	
17	209642	
17.2	206540	
17.4	206616	
17.6	207752	
17.8	206545	
18	208014	
18.2	209119	
18.4	208673	
18.6	210777	
18.8	209394	
19	209371	
19.2	208954	
19.4	208899	
19.6	208418	
19.8	207684	
20	206966	
